SA1_CODE_2021,Tot_P_P,Median_age_persons,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_mortgage_repay_monthly,Median_tot_hhd_inc_weekly,Year12_Total,High_Income_Total,Families_with_children,latitude,longitude,beach_min_km,beach_avg_km,beachs_within_5km,beachs_within_10km,park_min_km,park_avg_km,parks_within_5km,parks_within_10km,school_min_km,school_avg_km,schools_within_5km,schools_within_10km,hospital_min_km,hospital_avg_km,hospitals_within_5km,hospitals_within_10km,beach_score,park_score,school_score,hospital_score,education_score,income_score,age_score,lifestyle_premium_index,school_demand_index,lifestyle_preference_index,value_score,state,state_name,is_coastal,is_highly_coastal,is_metro,income_bracket,age_bracket
11703164408,557,45,1986,860,4333,4405,468.0,196,0,-37.2288,149.3733,331.3484972952808,403.8505073903102,0,0,28.795790322845384,84.32857390784454,0,0,114.7894427528546,124.78555570996816,0,0,149.5317494985343,165.0929054268865,0,0,0.0,0.0,0.0,0.0,0.949290060851927,1.0,0.9862071167439164,24.42393619223885,56.95740365111563,98.57201471935603,1.2298054477461655,1,NSW,False,False,False,>$1600,40-50
11703133033,728,35,1937,650,2740,3262,591.0,434,0,-37.5388,149.34230000000002,325.3917559245329,401.8228739176083,0,0,56.42901006420714,85.18932478476918,0,0,146.16197566664064,155.55661677644375,0,0,181.9786054797444,197.13538819268317,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.8824969025845953,24.412484512922976,60.0,96.47490707753784,1.2603244456852336,1,NSW,False,False,False,>$1600,30-40
11703133049,781,35,1751,566,2200,2470,611.0,404,0,-37.5388,149.34230000000002,325.3917559245329,401.8228739176083,0,0,56.42901006420714,85.18932478476918,0,0,146.16197566664064,155.55661677644375,0,0,181.9786054797444,197.13538819268317,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.8824969025845953,24.412484512922976,60.0,96.47490707753784,1.3942024279225,1,NSW,False,False,False,>$1600,30-40
12104141425,646,35,1871,544,2513,2855,494.0,341,0,-37.4588,150.3503,328.4219845269456,337.0317056449738,0,0,49.829623398746335,81.98526161999641,0,0,150.4502843519458,154.77688003623123,0,0,132.142697907346,143.79816322469975,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.8824969025845953,24.412484512922976,60.0,96.47490707753784,1.3047827104715648,1,NSW,False,False,False,>$1600,30-40
12104141735,714,35,1738,650,3000,3021,546.0,353,0,-37.4588,150.3503,328.4219845269456,337.0317056449738,0,0,49.829623398746335,81.98526161999641,0,0,150.4502843519458,154.77688003623123,0,0,132.142697907346,143.79816322469975,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.8824969025845953,24.412484512922976,60.0,96.47490707753784,1.404630869558284,1,NSW,False,False,False,>$1600,30-40
30503112818,741,36,1652,550,2000,2713,492.0,323,0,-31.3498,151.1371,246.19157957626504,250.2581654031669,0,0,19.4956617056198,142.3906956735146,0,0,150.68030058721692,163.3572404085245,0,0,111.48552753450106,152.1488700405328,0,0,0.0,0.0,0.0,0.0,0.9979716024340772,0.985092426952892,0.9103839103891423,24.382559845815408,59.87829614604463,96.52557070800042,1.475941879286647,3,QLD,False,False,False,>$1600,30-40
11703133314,516,40,1842,715,2350,2899,464.0,269,0,-37.5388,149.34230000000002,325.3917559245329,401.8228739176083,0,0,56.42901006420714,85.18932478476918,0,0,146.16197566664064,155.55661677644375,0,0,181.9786054797444,197.13538819268317,0,0,0.0,0.0,0.0,0.0,0.9411764705882352,1.0,0.9862071167439164,24.342800289601936,56.47058823529412,98.4097429140822,1.3215418181108542,1,NSW,False,False,False,>$1600,30-40
11703133036,664,34,1853,650,3000,3228,534.0,334,0,-37.5388,149.34230000000002,325.3917559245329,401.8228739176083,0,0,56.42901006420714,85.18932478476918,0,0,146.16197566664064,155.55661677644375,0,0,181.9786054797444,197.13538819268317,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.8516705072294409,24.258352536147207,60.0,95.55011521688324,1.309139370542213,1,NSW,False,False,False,>$1600,30-40
20607114223,614,34,1760,552,2200,3045,494.0,279,0,-41.6736,147.0771,84.67419821379839,95.12240090824014,0,0,45.07312808264685,54.587224769005466,0,0,63.22012316730845,69.3483810904303,0,0,53.0501971266282,55.22490119666901,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.8516705072294409,24.258352536147207,60.0,95.55011521688324,1.378315485008364,2,VIC,False,False,False,>$1600,30-40
30503112802,806,34,1687,450,2000,2358,664.0,354,0,-31.3498,151.1371,246.19157957626504,250.2581654031669,0,0,19.4956617056198,142.3906956735146,0,0,150.68030058721692,163.3572404085245,0,0,111.48552753450106,152.1488700405328,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.8516705072294409,24.258352536147207,60.0,95.55011521688324,1.437958063790587,3,QLD,False,False,False,>$1600,30-40
80106113103,656,34,1709,481,1874,2396,506.0,347,0,-39.1509,150.243,374.1086745970715,389.38423588045725,0,0,46.52269975636822,91.1337733449983,0,0,12.426447421446746,80.58286879927722,0,0,86.3709641266706,113.25926903388088,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.8516705072294409,24.258352536147207,60.0,95.55011521688324,1.4194471934550736,8,ACT,False,False,False,>$1600,30-40
11703132921,529,39,1574,450,2084,1967,512.0,245,0,-37.5488,149.34130000000002,325.2592223192765,401.4775054278286,0,0,55.3851729040675,85.22546741130384,0,0,147.03557476397856,156.57535933609464,0,0,183.03867670665105,198.17586791304075,0,0,0.0,0.0,0.0,0.0,1.0,0.9385807990459152,0.973144963058051,24.25153280574941,60.0,96.12338884403728,1.5407581198061886,1,NSW,False,False,False,$1200-1600,30-40
11702132820,758,34,1671,640,2700,3034,612.0,371,0,-37.5488,148.34130000000002,214.0901776848344,320.3851123127645,0,0,81.08457373235039,121.4215823113976,0,0,127.68200526660864,157.15852089901742,0,0,192.17496587036769,199.80383082261065,0,0,0.0,0.0,0.0,0.0,1.0,0.996422182468694,0.8516705072294409,24.222574360834148,60.0,95.37122434031792,1.449585539248004,1,NSW,False,False,False,>$1600,30-40
30805153302,1084,29,1096,370,1733,2406,462.0,285,0,-30.9398,153.1781,32.13475052618383,37.58885068643223,0,0,106.077327262741,164.10685725392278,0,0,104.21347454608764,176.1052294184481,0,0,103.75513570342252,195.17067433943467,0,0,0.2482229862713554,0.0,0.0,0.0,0.9371196754563894,0.6535480023852117,0.6669768108584744,24.206020558135496,56.22718052738336,71.4290979541426,2.208578518078056,3,QLD,True,False,False,$800-1200,<30
12104141729,639,44,1844,762,2900,3121,455.0,255,0,-37.4588,150.3503,328.4219845269456,337.0317056449738,0,0,49.829623398746335,81.98526161999641,0,0,150.4502843519458,154.77688003623123,0,0,132.142697907346,143.79816322469975,0,0,0.0,0.0,0.0,0.0,0.922920892494929,1.0,0.9950124791926824,24.204271320912703,55.375253549695735,98.30879222567904,1.3125960586178256,1,NSW,False,False,False,>$1600,40-50
12001138640,853,41,1619,650,2600,2426,469.0,356,0,-37.4888,147.34730000000002,104.22278630104728,241.3219559395128,0,0,29.92735230976992,134.08182935039514,0,0,71.82247882784314,116.5852978157646,0,0,145.6136622821765,151.18181913991788,0,0,0.0,0.0,0.0,0.0,0.95131845841785,0.9654144305307096,0.9950124791926824,24.14239128544901,57.07910750507099,97.14746507067296,1.491191555617604,1,NSW,False,False,False,>$1600,40-50
12201141936,605,35,1668,700,2600,3104,482.0,265,0,-37.4588,147.3503,105.00079149141762,242.30228552331863,0,0,26.812815438053075,133.02773620983217,0,0,70.52018969658839,115.98194091926514,0,0,146.45488989326347,149.98929208730829,0,0,0.0,0.0,0.0,0.0,0.977687626774848,0.9946332737030412,0.8824969025845953,24.135693517701867,58.66125760649087,95.76032329818686,1.4469840238430376,1,NSW,False,False,False,>$1600,30-40
11703133016,755,35,1664,620,3000,3083,481.0,302,0,-37.5388,149.34230000000002,325.3917559245329,401.8228739176083,0,0,56.42901006420714,85.18932478476918,0,0,146.16197566664064,155.55661677644375,0,0,181.9786054797444,197.13538819268317,0,0,0.0,0.0,0.0,0.0,0.9756592292089248,0.992248062015504,0.8824969025845953,24.091557425167267,58.53955375253549,95.60049476249156,1.447809941416302,1,NSW,False,False,False,>$1600,30-40
11703164705,638,33,1863,600,2400,3197,571.0,377,0,-37.2288,149.3733,331.3484972952808,403.8505073903102,0,0,28.795790322845384,84.32857390784454,0,0,114.7894427528546,124.78555570996816,0,0,149.5317494985343,165.0929054268865,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.8182760289835492,24.09138014491775,60.0,94.54828086950648,1.2931497662328368,1,NSW,False,False,False,>$1600,30-40
