SA1_CODE_2021,Tot_P_P,Median_age_persons,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_mortgage_repay_monthly,Median_tot_hhd_inc_weekly,Year12_Total,High_Income_Total,Families_with_children,latitude,longitude,beach_min_km,beach_avg_km,beachs_within_5km,beachs_within_10km,park_min_km,park_avg_km,parks_within_5km,parks_within_10km,school_min_km,school_avg_km,schools_within_5km,schools_within_10km,hospital_min_km,hospital_avg_km,hospitals_within_5km,hospitals_within_10km,beach_score,park_score,school_score,hospital_score,education_score,income_score,age_score,lifestyle_premium_index,school_demand_index,lifestyle_preference_index,value_score,state,state_name,is_coastal,is_highly_coastal,is_metro,income_bracket
31905152208,839,42,701,340,1820,1757,261.0,66,0,-30.9498,153.1771,32.41622010139172,37.733678832651385,0,0,107.07312175694666,163.6124261250696,0,0,105.15164360366154,176.41467618853383,0,0,103.32010618872904,194.9992388954441,0,0,0.2453264233469723,0.0,0.0,0.0,0.5294117647058824,0.4180083482409064,0.999444598736858,19.377952590091628,31.76470588235294,61.47199066826872,2.7643298987291907,3,QLD,True,False,False,$500-800
12003139321,762,37,787,450,2067,1756,493.0,103,0,-37.4788,149.34830000000002,326.2662148512882,403.944184127572,0,0,55.01995269459362,85.11163537808505,0,0,140.9927297723785,149.47326313154244,0,0,175.6331300000511,190.9105064559781,0,0,0.0,0.0,0.0,0.0,1.0,0.4692903995229576,0.9349874032704532,19.367841011581845,60.0,71.51414207426147,2.460970903631747,1,NSW,False,False,False,$500-800
30305107316,468,39,785,500,2000,2347,275.0,41,0,-31.3998,153.1321,33.74948357239367,39.46173823158336,0,0,82.95381839711125,137.41755769315697,0,0,149.93588364137193,171.2909872973581,0,0,95.94935175924476,172.05157306379311,0,0,0.2107652353683329,0.0,0.0,0.0,0.5578093306288032,0.468097793679189,0.973144963058051,19.34010076573684,33.46855983772819,63.75542518827705,2.463707103915521,3,QLD,True,False,False,$500-800
20702115716,811,37,780,500,2700,1875,507.0,151,0,-41.6636,142.0781,416.2100321189632,446.23641194805714,0,0,81.77808754187177,131.87959739262345,0,0,124.81316110084911,154.10375796740547,0,0,187.1988966338737,203.5669211860934,0,0,0.0,0.0,0.0,0.0,1.0,0.4651162790697674,0.9349874032704532,19.32609980704994,60.0,71.30543605160196,2.477705103467941,2,VIC,False,False,False,$500-800
30305107322,476,38,737,395,1463,1494,290.0,60,0,-31.3998,153.1321,33.74948357239367,39.46173823158336,0,0,82.95381839711125,137.41755769315697,0,0,149.93588364137193,171.2909872973581,0,0,95.94935175924476,172.05157306379311,0,0,0.2107652353683329,0.0,0.0,0.0,0.5882352941176471,0.4394752534287418,0.9559974818330998,19.27239759199605,35.294117647058826,62.41839300878303,2.614979320487931,3,QLD,True,False,False,$500-800
31905152505,1042,41,666,300,1517,1567,267.0,109,0,-30.9498,153.1771,32.41622010139172,37.733678832651385,0,0,107.07312175694666,163.6124261250696,0,0,105.15164360366154,176.41467618853383,0,0,103.32010618872904,194.9992388954441,0,0,0.2453264233469723,0.0,0.0,0.0,0.5415821501014199,0.3971377459749552,0.9950124791926824,19.26878982366661,32.49492900608519,60.53890467655664,2.8932116852352268,3,QLD,True,False,False,$500-800
30905124307,652,41,717,550,2559,2210,286.0,102,0,-31.2298,153.1491,23.747590483998952,39.58299141369727,0,0,101.64925300259463,147.99285859180932,0,0,132.55431566329673,176.79900815608934,0,0,95.742982507,180.864497743672,0,0,0.2083401717260545,0.0,0.0,0.0,0.5801217038539553,0.4275491949910555,0.9950124791926824,19.218574818934613,34.80730223123732,62.83026820241236,2.6804148980383005,3,QLD,True,False,False,$500-800
31105132526,711,35,739,410,1521,1726,298.0,42,0,-31.1498,153.1571,23.304108266181547,39.16656587646504,0,0,110.48275954088484,153.0732428407636,0,0,124.53818597931168,179.51625529515232,0,0,96.94256859573665,185.68716385053287,0,0,0.2166686824706992,0.0,0.0,0.0,0.6044624746450304,0.4406678592725104,0.8824969025845953,19.19716150151237,36.26774847870183,60.59754953406399,2.5977214481072224,3,QLD,True,False,False,$500-800
12504158823,846,35,798,420,2250,2018,506.0,155,0,-37.2888,150.3673,327.3432154650532,334.0947594099373,0,0,59.73189330825972,77.82199877109431,0,0,143.83617620358865,158.77842145558876,0,0,117.8047422092017,145.0577139087258,0,0,0.0,0.0,0.0,0.0,1.0,0.4758497316636851,0.8824969025845953,19.170981829559828,60.0,70.26739366072212,2.4023786753834373,1,NSW,False,False,False,$500-800
20302103910,1022,35,794,420,2035,1703,579.0,179,0,-41.7836,142.0661,428.2429720296362,455.1055998636728,0,0,71.7191920039281,128.13969004405487,0,0,125.93602444430202,154.03285915510625,0,0,175.6190143349318,194.65345888279376,0,0,0.0,0.0,0.0,0.0,1.0,0.4734645199761478,0.8824969025845953,19.147129712684453,60.0,70.14813307634525,2.411477293788974,2,VIC,False,False,False,$500-800
