rank,SA1_CODE_2021,state,gentrification_risk_score,local_morans_i,spatial_lag,lisa_category,total_population,median_personal_income,pct_year12,pct_young_professionals,edu_income_mismatch
8430,12702151303,NSW,55.77212296066276,0.3248208484267658,59.5874577695532,LL (Coldspot),191,469,64.74820143884892,24.083769633507853,55.327655305598086
8431,20803118812,VIC,55.77178849147702,0.6153539806978822,57.05393996444655,LL (Coldspot),457,807,76.27118644067797,27.35229759299781,31.25909205051133
8432,21204146001,VIC,55.77147162458113,-0.03037939850737618,62.68519226723889,LH (Low-High Outlier),716,682,63.87832699619772,32.262569832402235,30.0065536147707
8433,12103140867,NSW,55.77098653993436,0.32903880477818775,59.55116271021478,LL (Coldspot),481,1245,89.53168044077135,33.056133056133056,5.077778208327871
8434,12104141736,NSW,55.77072572644944,0.2662955187711386,60.098354902136585,LL (Coldspot),552,1310,83.92857142857143,38.224637681159415,-1.6340007327951869
8435,11904137929,NSW,55.769256046020985,-0.5193530706639441,66.9476865951445,LH (Low-High Outlier),333,631,69.74169741697416,25.525525525525527,48.993243468764575
8436,20804119528,VIC,55.76625186078456,-0.371218150224258,65.65487315376613,LH (Low-High Outlier),296,954,78.63636363636364,36.48648648648648,13.20199001180383
8437,21305136241,VIC,55.76558586445466,0.7130362495560929,56.20787528733327,LL (Coldspot),437,647,59.85915492957746,33.86727688787185,25.752068240742577
8438,12201141902,NSW,55.76494143116091,0.48939870997249946,58.15675243859602,LL (Coldspot),504,1797,87.11943793911007,41.86507936507937,-3.68869029207724
8439,50502109505,WA,55.76418841336569,0.4650140740817194,58.36964373766663,LL (Coldspot),504,1017,70.28301886792453,44.44444444444444,-7.363251628206029
8440,12003139423,NSW,55.76366792172732,0.6006955542293706,57.18816269639502,LL (Coldspot),432,1044,84.85714285714285,33.101851851851855,12.59043866730036
8441,20904122309,VIC,55.76345154689943,0.036795787767670736,62.09979026425324,LH (Low-High Outlier),510,509,56.98630136986301,30.58823529411765,34.642213277230965
8442,21204131746,VIC,55.762848187527794,-0.3464207074284137,65.43725809518511,LH (Low-High Outlier),573,720,64.33260393873084,36.99825479930192,24.644361686837144
8443,11501162201,NSW,55.76141069788659,0.6226906193411677,56.998422246287895,LL (Coldspot),863,1246,85.05917159763314,38.58632676709154,1.330645435201717
8444,21104127110,VIC,55.75885946951368,0.0563284468771274,61.930002799245976,LH (Low-High Outlier),400,991,77.62711864406779,38.75,7.584373177136072
8445,12503171432,NSW,55.75799055176373,-0.5167228812774398,66.91714137067328,LH (Low-High Outlier),380,703,68.75,29.21052631578948,36.82517448791128
8446,20902142834,VIC,55.75616414492078,0.07947004554107473,61.7288626698778,LH (Low-High Outlier),582,959,76.30434782608695,37.97250859106529,9.028536629128467
8447,80101101914,ACT,55.75569247399921,0.6327262065443693,56.91576795184442,LL (Coldspot),259,1125,82.55813953488372,44.78764478764479,3.9974569675519542
8448,21205132123,VIC,55.75562534302768,0.10665193775475608,61.49244757326603,LH (Low-High Outlier),272,701,78.4688995215311,20.955882352941178,53.936455516625344
8449,50302103923,WA,55.75462176382188,0.503006314124212,58.04499057042044,LL (Coldspot),522,691,63.370786516853926,30.26819923371648,27.414187065515204
8450,11703132924,NSW,55.7510715860562,0.14803517428046786,61.133310220446305,LH (Low-High Outlier),350,2397,88.61538461538461,37.142857142857146,-2.975609437675544
8451,12802153846,NSW,55.749802332681774,0.7084903515394383,56.26208780815148,LL (Coldspot),532,1169,75.81395348837209,46.05263157894737,-8.476355067709093
8452,50701116137,WA,55.74696071300527,0.7607399095049739,55.81075115470108,LL (Coldspot),402,1211,84.72222222222221,50.49751243781094,2.212321597539201
8453,12003139419,NSW,55.74427262522666,0.6023486978047494,57.18900597015591,LL (Coldspot),376,1456,83.39100346020761,41.48936170212766,-5.064218574597433
8454,12003139517,NSW,55.74402953682026,0.41549903593144066,58.81188635383826,LL (Coldspot),887,1724,87.95013850415513,41.26268320180383,-2.768299892327633
8455,12002167510,NSW,55.741016921159314,0.1266495198667511,61.32088682329591,LH (Low-High Outlier),712,1504,83.24697754749567,42.5561797752809,-5.6954767304872576
8456,30403109510,QLD,55.73746882146297,0.14605951512452917,61.15307052410979,LH (Low-High Outlier),561,1040,78.88888888888889,38.146167557932266,5.0714907208724895
8457,50503130516,WA,55.73651282848923,0.9792997570903441,53.92514160950928,LL (Coldspot),39,743,62.5,51.28205128205128,16.252355465556974
8458,12203169503,NSW,55.73441946973876,0.44726855478472183,58.541568156759865,LL (Coldspot),425,1049,73.98843930635837,41.88235294117647,-3.439031191411374
8459,20801117224,VIC,55.734184740637545,0.5498583813703224,57.652078104876864,LL (Coldspot),513,885,76.90417690417691,30.01949317738791,19.78733508638528
8460,11801164924,NSW,55.73266896085849,0.547120721714847,57.676893570468984,LL (Coldspot),319,1529,88.93280632411067,41.37931034482759,-0.5851535478269625
8461,21305146629,VIC,55.73204975293456,0.6346708096203476,56.918368662102125,LL (Coldspot),544,1122,82.4468085106383,48.34558823529412,4.092240543952315
8462,21303135011,VIC,55.730251971050336,0.5436955151513749,57.70829210928717,LL (Coldspot),533,1272,80.5896805896806,48.78048780487805,-4.967269361143892
8463,21204131023,VIC,55.72978541929741,-0.47379769221204504,66.52619513014719,LH (Low-High Outlier),531,496,63.681592039801,26.55367231638418,50.12967838266963
8464,60402109117,TAS,55.72950235420177,0.3704538077771296,59.21006545388104,LL (Coldspot),455,628,59.46745562130178,33.62637362637363,27.5383296407811
8465,20801117235,VIC,55.7281294056662,0.5501233933756221,57.65409654986732,LL (Coldspot),336,1165,78.85304659498208,40.773809523809526,-3.478185912598917
8466,12601149653,NSW,55.723246146342994,0.4162476902047477,58.816603048391684,LL (Coldspot),178,1568,84.84848484848484,35.39325842696629,-4.565730270825597
8467,12802153850,NSW,55.722147573896834,0.7110282905938993,56.265544652999594,LL (Coldspot),437,1151,76.14942528735632,45.53775743707094,-6.8950103941107415
8468,80106112901,ACT,55.72159361656647,0.3564484997772173,59.33507683613891,LL (Coldspot),703,1803,89.00709219858156,38.69132290184922,-2.274061583403892
8469,21202129708,VIC,55.72104233724305,0.5363495192837247,57.77834697303999,LL (Coldspot),652,691,62.83367556468173,32.36196319018405,26.240489877723657
8470,21304157528,VIC,55.719094106242736,-0.0,0.0,LL (Coldspot),613,827,72.87735849056604,36.7047308319739,22.15495423981841
8471,21304146318,VIC,55.71860962364708,0.7992992500596582,55.50511526137166,LL (Coldspot),433,940,76.99680511182109,38.799076212471135,12.485961835146696
8472,21204131747,VIC,55.71842896820698,-0.34884616955048614,65.43824518894779,LH (Low-High Outlier),558,702,66.11374407582939,31.72043010752688,31.462280602747043
8473,20802118014,VIC,55.71787857634145,0.4541472975976966,58.49163530610278,LL (Coldspot),578,911,76.65198237885463,32.17993079584775,15.74598752347464
8474,20902142907,VIC,55.7127287837942,0.2842336158866727,59.96337556110785,LL (Coldspot),517,894,73.72262773722628,40.03868471953578,13.36111924584084
8475,20802117440,VIC,55.71058631640397,0.27543945453412344,60.04015201974214,LL (Coldspot),666,1005,80.26315789473685,31.53153153153153,10.34440822217222
8476,21204156515,VIC,55.70972396389055,0.4128255880405923,58.85343188053061,LL (Coldspot),553,586,61.78660049627791,31.82640144665461,37.85630610126283
8477,11703133045,NSW,55.7086610923908,0.2834692732388541,59.97146753713389,LL (Coldspot),359,1431,84.48844884488449,45.40389972144847,-3.4278079179175336
8478,60201103811,TAS,55.70812924328763,0.4558982325222198,58.48221701210554,LL (Coldspot),306,927,70.0,43.790849673202615,1.9201641813257735
8479,12502147752,NSW,55.70442853454402,0.02976969489067947,62.16326495513066,LH (Low-High Outlier),393,589,64.51612903225806,28.24427480916031,43.51714513083928
8480,80106106702,ACT,55.70248483556408,0.5285221457043455,57.85872621577903,LL (Coldspot),308,631,66.22807017543859,24.025974025974023,41.83860532402247
8481,21203155733,VIC,55.70189128748314,0.5812746284764063,57.40387537764008,LL (Coldspot),718,889,75.0,42.618384401114206,16.07198315642298
8482,11701163425,NSW,55.70051833626895,-0.6210348731156917,67.77870929613367,LH (Low-High Outlier),471,671,69.6,26.53927813163482,43.37742326903266
8483,21301133428,VIC,55.69998757079186,0.008209540611854752,62.34944618127094,LH (Low-High Outlier),433,489,58.78378378378378,29.561200923787528,40.212866213475394
8484,40105101703,SA,55.69836546170545,0.2994291890086541,59.83755645840244,LL (Coldspot),428,1073,82.8169014084507,33.41121495327103,7.833348527778284
8485,30305107212,QLD,55.69818780310078,0.21214386383027395,60.590481915335296,LL (Coldspot),487,669,66.29526462395543,31.82751540041068,36.957487771860144
8486,21304146301,VIC,55.69678264836642,0.8010588192329821,55.51239091979855,LL (Coldspot),658,809,74.09766454352442,31.155015197568385,27.34178116713783
8487,50604113633,WA,55.69666801515329,0.24202605008630274,60.33321263875399,LL (Coldspot),547,914,78.26086956521739,36.92870201096892,17.786757142279086
8488,21301133531,VIC,55.69527197713487,0.03708451594424813,62.10055013288439,LH (Low-High Outlier),424,412,60.51660516605166,26.179245283018872,48.58797561592857
8489,21303134715,VIC,55.695097931133645,-0.3470958803919627,65.41268548589534,LH (Low-High Outlier),284,524,61.31687242798354,27.11267605633803,42.8048829475806
8490,20602111019,VIC,55.69476186609185,0.5580766054639104,57.60917971969523,LL (Coldspot),586,1217,79.83870967741935,42.491467576791806,-4.298439694611403
8491,40403110904,SA,55.69295516428167,-0.0,0.0,LL (Coldspot),373,796,68.75,31.36729222520107,19.57123346038536
8492,12502171120,NSW,55.691456133384506,0.22056696855933794,60.51973383466132,LL (Coldspot),276,845,81.44796380090497,25.724637681159415,32.72522249778516
8493,20605151423,VIC,55.69094015317145,0.29602525333873136,59.86973444465363,LL (Coldspot),531,1246,83.5920177383592,37.28813559322034,-0.3320228308252098
8494,30503111914,QLD,55.68972414152606,0.2771832815388173,60.032507485312834,LL (Coldspot),496,1177,81.17647058823529,43.14516129032258,-0.7204461187019007
8495,20703116616,VIC,55.688624331757495,-0.23534966979223496,64.44733878941632,LH (Low-High Outlier),218,805,80.72289156626506,22.47706422018349,38.41642980151728
8496,11703164034,NSW,55.68700526062969,0.24104458882211632,60.34465901492033,LL (Coldspot),249,1463,90.04739336492891,40.963855421686745,0.8431785743596976
8497,11703133328,NSW,55.68696462604576,0.2814548461344422,59.99670419039433,LL (Coldspot),250,974,72.77486910994764,42.4,1.3262816657213676
8498,11603131751,NSW,55.68281009051677,-0.4884485447377045,66.62364634852527,LH (Low-High Outlier),364,507,64.95726495726495,26.098901098901106,52.05675513834325
