rank,SA1_CODE_2021,state,gentrification_risk_score,local_morans_i,spatial_lag,lisa_category,total_population,median_personal_income,pct_year12,pct_young_professionals,edu_income_mismatch
62,50301103504,WA,93.13743407879174,6.9082045083938715,75.45973450525045,HH (Hotspot),494,533,94.11764705882352,43.522267206477736,89.0660904224441
63,20604150526,VIC,92.96519521645688,6.60750857845863,74.96248854284333,HH (Hotspot),32,537,88.46153846153845,56.25,86.14104476644366
64,20604150431,VIC,92.90052283070972,12.75456020300635,86.6820434660036,HH (Hotspot),534,567,91.3135593220339,44.7565543071161,85.01497012074857
65,40101100149,SA,92.81226654238776,8.419507445476947,78.48239921331053,HH (Hotspot),433,570,90.72164948453609,45.72748267898383,84.43232728961834
66,20604111742,VIC,92.2930254644058,8.357324776619404,78.64089772352314,HH (Hotspot),232,529,93.38842975206612,34.05172413793103,89.22633735854674
67,50301103507,WA,92.26030136116918,6.761098508976952,75.5571936960974,HH (Hotspot),319,576,94.23076923076924,52.97805642633229,84.82730611096245
68,20604150421,VIC,92.01423878955896,12.397828514571769,86.70973984228957,HH (Hotspot),756,627,93.47222222222224,51.05820105820106,78.594431091404
69,30403109606,QLD,91.94485573641924,8.892023217426681,79.88220746877663,HH (Hotspot),455,544,95.06493506493506,45.494505494505496,88.26041473470238
70,21205156708,VIC,91.92880370453338,10.48204906124818,83.01585797749105,HH (Hotspot),221,622,95.91836734693877,42.98642533936652,79.66014239570855
71,20604150318,VIC,91.88194862368807,6.061105219024453,74.3483361837033,HH (Hotspot),464,629,94.06392694063926,49.78448275862069,78.46968547384607
72,20703116358,VIC,91.7975282499498,5.372076960801394,73.02273114889252,HH (Hotspot),558,580,87.11018711018711,55.7347670250896,80.76263854500672
73,40101100152,SA,91.72716569063635,8.135033359071524,78.51431394424439,HH (Hotspot),723,583,88.52201257861635,40.38727524204703,81.53006203383221
74,20604112410,VIC,91.69099766577376,2.572501142111182,67.5159010896919,HH (Hotspot),313,294,93.7984496124031,30.670926517571885,97.99580596577836
75,30503112619,QLD,91.64788472873369,5.263599380515878,72.86182502212971,HH (Hotspot),321,337,91.81494661921708,21.49532710280374,97.24412877175357
76,20902152614,VIC,91.60672883550886,-0.7487268500874295,60.93290947334721,HH (Hotspot),13,575,100.0,84.61538461538461,85.6375071469411
78,20701152005,VIC,91.44073489701049,-0.6403794582203732,61.140867878645075,HH (Hotspot),256,617,94.91525423728814,50.78125,80.17872178091109
79,21205156713,VIC,91.09916729338696,10.205186928774305,83.05192912580176,HH (Hotspot),452,475,89.3854748603352,42.2566371681416,92.23374935739989
80,20703116346,VIC,91.09686872007364,5.252614340919372,73.0402476371394,HH (Hotspot),705,590,86.82042833607908,50.92198581560283,79.45816115275689
81,21205156718,VIC,91.0623194403623,10.19286630422046,83.05353120636805,HH (Hotspot),330,528,93.06122448979592,48.48484848484848,89.17244835301199
82,30504113726,QLD,91.03198750850127,3.337623225736697,69.18373442878418,HH (Hotspot),199,633,92.3076923076923,47.23618090452261,77.40378283057436
83,20604150406,VIC,90.9532265018155,11.969654646939736,86.74289647628156,HH (Hotspot),980,651,94.09190371991248,52.24489795918368,75.84211014605839
84,21205156701,VIC,90.87050721800092,10.128698161255045,83.06187086820985,HH (Hotspot),349,597,92.0754716981132,47.27793696275072,81.93554306611912
85,30501111013,QLD,90.83382078993908,3.4215970578714736,69.40225923882943,HH (Hotspot),811,527,87.42857142857143,33.66214549938348,86.21215705500859
86,21205156721,VIC,90.80154585661244,10.105614600049972,83.06486918827022,HH (Hotspot),600,559,89.7872340425532,44.333333333333336,85.04762829818655
87,20604150420,VIC,90.61307460382707,11.832128708604003,86.75352622309369,HH (Hotspot),636,642,91.06529209621992,56.60377358490566,75.6368284590109
