rank,SA1_CODE_2021,gentrification_risk_score,gentrification_risk_percentile,risk_category,total_population,median_personal_income,median_household_income,median_rent_weekly,income_percentile,education_percentile,pct_year12,pct_tertiary,edu_income_mismatch,pct_young_professionals,pct_age_20_24,pct_overseas_born,pct_non_english,avg_household_size,rental_stress,income_component,education_component,youth_component,mismatch_component,diversity_component,density_component,state_code,state,state_name
290,10301161219,81.84274297166003,99.53269516848844,Very High,210,366,1125,180,2.628387555785525,99.42506802946838,98.05825242718448,0.0,98.05996665288797,5.714285714285714,54.761904761904766,3.8095238095238098,2.380952380952381,1.0,0,1.6384872988646575,99.69845395175264,69.19571959524066,98.05996665288797,2.6805665157619307,100.0,1,NSW,New South Wales
291,30403109401,81.82542097104002,99.53107819675311,Very High,511,725,1755,440,35.97923808291831,97.04818477467312,89.17525773195877,0.0,61.97988210580344,41.878669275929546,13.50293542074364,58.9041095890411,54.01174168297456,2.2,0,35.33202646410193,97.31190856990536,93.25678271208707,61.97988210580344,93.23919092910248,78.9756117759099,3,QLD,Queensland
292,20604150633,81.75665301420811,99.52946122501778,Very High,358,631,2390,462,22.008602289631977,95.00895997876154,86.53198653198653,0.0,74.0465554772945,30.446927374301676,18.71508379888268,49.162011173184354,50.27932960893855,2.4,0,21.217838765008576,95.26439424230308,84.2661034846885,74.0465554772945,88.95626531544627,65.88547058092831,2,VIC,Victoria
293,12702152101,81.74563712265085,99.52784425328244,Very High,37,466,1062,400,5.32468792445508,90.71978496050971,82.6086956521739,0.0,86.59529070018645,29.72972972972973,0.0,67.56756756756756,59.45945945945946,1.9,100,4.36249285305889,90.95778355324536,55.49476589977467,86.59529070018645,96.64077750550317,92.558486191048,1,NSW,New South Wales
294,30403109426,81.73047632694148,99.52622728154712,Very High,610,710,1523,430,33.39531724985447,96.75781509258644,88.75255623721881,0.0,64.29880334887201,38.68852459016394,14.918032786885249,62.95081967213115,58.36065573770492,2.3,0,32.72155517438536,97.02035852325736,91.39512260017128,64.29880334887201,95.39062175520203,72.84998550784645,3,QLD,Queensland
295,20604150514,81.72245579630572,99.5246103098118,Very High,561,802,1434,410,49.6960093137572,98.7066104732196,92.55725190839696,0.0,49.78733475979861,61.85383244206773,26.02495543672014,73.97504456327985,64.349376114082,1.7,0,49.18974107653353,98.97707583633212,99.67988425945174,49.78733475979861,98.32869543547784,96.97486646515672,2,VIC,Victoria
296,20902120518,81.66883099156239,99.52299333807645,Very High,615,621,1359,346,20.63902722980402,86.23232893077586,79.39393939393939,0.0,66.61789486606729,47.3170731707317,15.284552845528454,53.49593495934959,48.94308943089431,2.3,0,19.834190966266437,86.45208583233372,96.35068055774973,66.61789486606729,90.12086223366698,72.84998550784645,2,VIC,Victoria
297,50302129523,81.6582721931149,99.52137636634112,Very High,522,664,938,231,26.33319319578294,83.48626136589898,77.53623188405797,0.0,58.1079894269524,53.44827586206896,9.961685823754788,64.17624521072797,54.98084291187739,1.4,0,25.58686596422445,83.69485539117686,97.38170268315194,58.1079894269524,94.90135814262574,99.30686099954453,5,WA,Western Australia
298,60105103120,81.63720402135968,99.5197593946058,Very High,372,671,1510,350,27.29933380764504,93.20203092851928,84.73520249221184,0.0,66.88718603059472,46.50537634408602,9.67741935483871,44.623655913978496,37.096774193548384,2.3,0,26.562933921424488,93.4501199520192,94.87897962068364,66.88718603059472,82.04427461893093,72.84998550784645,6,TAS,Tasmania
299,12003168013,81.63291722827297,99.51814242287044,Very High,242,672,2091,471,27.41737274432443,99.2417203159222,94.81132075471696,0.0,72.83217518350823,50.413223140495866,34.29752066115703,88.01652892561982,86.36363636363636,3.1,0,26.68218573878952,99.51436092229774,98.96149464949409,72.83217518350823,99.95514391327822,14.786137219990888,1,NSW,New South Wales
300,11703164524,81.60570471054471,99.51652545113512,Very High,469,648,2454,725,24.26185240282,99.2699276564678,95.02487562189054,0.0,76.04844131938012,62.04690831556504,25.79957356076759,91.25799573560768,85.9275053304904,3.7,0,23.49424160744916,99.54268292682929,99.68321013727562,76.04844131938012,99.96012792291398,1.405324831269927,1,NSW,New South Wales
301,11703164619,81.60043296739175,99.51490847939978,Very High,276,693,1609,470,30.61816829441821,90.79776996084158,82.68398268398268,0.0,61.12021527254491,39.130434782608695,9.057971014492754,72.82608695652173,60.5072463768116,1.8,0,29.91587029322878,91.03608556577367,89.06867106236854,61.12021527254491,97.67579017319432,95.18198004223429,1,NSW,New South Wales
