rank,SA1_CODE_2021,state,gentrification_risk_score,local_morans_i,spatial_lag,lisa_category,total_population,median_personal_income,pct_year12,pct_young_professionals,edu_income_mismatch
9947,11602163105,NSW,53.76293226552605,0.9749222924858334,55.8910605360707,LL (Coldspot),739,1613,91.73228346456692,48.03788903924222,0.1503505026152822
9945,70201104907,NT,53.76585584422704,0.9359139463522889,56.150188400272974,LL (Coldspot),422,1268,72.3076923076923,46.2085308056872,-18.064430072127
9944,12102140623,NSW,53.76728322451553,0.40086196246463845,59.73428645980435,LL (Coldspot),621,740,71.80616740088107,26.24798711755233,35.84935734927626
9943,80101114301,ACT,53.767420179671575,0.7545099827421196,57.364576947011095,LL (Coldspot),177,1208,83.96946564885496,51.41242937853108,1.507347318362534
9942,60104102237,TAS,53.76866135247704,0.23546796382934918,60.84226273749537,LL (Coldspot),782,1042,76.58862876254182,50.51150895140665,1.4141243363799845
9941,21202145318,VIC,53.76884296347718,1.0789805940368578,55.18922817597476,LL (Coldspot),439,474,57.18654434250765,29.6127562642369,38.43206954741585
9938,20902142916,VIC,53.77310431791772,0.3423190556335268,60.12501093326423,LL (Coldspot),609,882,73.39246119733924,34.646962233169134,14.483953498564643
9936,11501155511,NSW,53.77656614998585,0.3078718107137949,60.35515438668201,LL (Coldspot),472,846,77.74647887323944,29.66101694915254,27.120279144733523
9934,21304146312,VIC,53.78099057549626,0.9341580464976563,56.15098827742193,LL (Coldspot),638,825,74.28571428571429,30.407523510971785,24.9036567272952
9932,20605113421,VIC,53.78376627516427,0.4027883123871292,59.71622796456821,LL (Coldspot),339,905,80.22813688212928,25.958702064896755,21.86659318956401
9931,50302103911,WA,53.78412784662889,0.6291270414448528,58.19656702558913,LL (Coldspot),409,1219,77.77777777777779,35.69682151589242,-7.483174172951095
9930,20904143308,VIC,53.786098514961495,0.5595326446092925,58.66293859906604,LL (Coldspot),570,900,75.5,37.01754385964912,15.444621751070857
9929,21301132911,VIC,53.78699215198827,0.8759533725953932,56.537522627414006,LL (Coldspot),492,701,68.0,29.065040650406505,35.71207860072504
9928,40301105729,SA,53.78749276914259,0.7762517833674653,57.20679899544266,LL (Coldspot),593,802,65.81532416502947,31.5345699831366,12.997883873486463
9926,12003139404,NSW,53.79160034321064,0.7658955858761037,57.273904765026174,LL (Coldspot),449,1034,77.6536312849162,34.29844097995546,3.7160338021125767
9925,60103101731,TAS,53.792346871366505,0.793474700035518,57.088127951957645,LL (Coldspot),279,579,54.86725663716814,32.25806451612903,23.887988829625375
9924,21101144601,VIC,53.79267418743923,1.2433807866657305,54.0644440425998,LL (Coldspot),660,961,67.92828685258964,46.06060606060606,-6.230424476456236
9922,11904166904,NSW,53.793785418738494,0.8987288028374305,56.37981371070952,LL (Coldspot),486,773,70.48710601719198,30.04115226337449,27.267966537145668
9921,21304157118,VIC,53.795019334731805,0.9688979927179723,55.907266823611096,LL (Coldspot),934,658,62.90050590219224,33.940042826552464,31.20879064040479
9920,80101101506,ACT,53.795475690740304,0.2714622658271305,60.5953874306866,LL (Coldspot),328,1155,76.97841726618705,39.329268292682926,-5.774997809419872
9919,21203155922,VIC,53.7969269576877,0.8625000082256304,56.62119977984361,LL (Coldspot),507,720,69.48640483383686,29.980276134122285,35.2292943804264
9918,21203130339,VIC,53.79796544097651,0.6648843368501526,57.94934312161646,LL (Coldspot),412,1002,75.80071174377224,53.15533980582524,3.97528556983643
9917,50502109721,WA,53.79877913515684,0.599466357701203,58.388857667495955,LL (Coldspot),540,987,69.93006993006993,40.55555555555556,-5.270913034769748
9916,50502109231,WA,53.8005826993966,0.9935327595792087,55.737359467806655,LL (Coldspot),506,1194,77.37226277372264,39.9209486166008,-7.101398311866944
