rank,SA1_CODE_2021,gentrification_risk_score,gentrification_risk_percentile,risk_category,total_population,median_personal_income,median_household_income,median_rent_weekly,income_percentile,education_percentile,pct_year12,pct_tertiary,edu_income_mismatch,pct_young_professionals,pct_age_20_24,pct_overseas_born,pct_non_english,avg_household_size,rental_stress,income_component,education_component,youth_component,mismatch_component,diversity_component,density_component
51,80101100308,93.71808844014052,99.9191514132333,Very High,1012,400,900,0,2.8862945475713087,99.40598659321697,97.36040609137055,0.0,97.78025059681265,16.699604743083004,49.90118577075099,38.63636363636363,35.177865612648226,1.0,0,1.8990443518745408,99.67929494868719,86.78878181410006,97.78025059681265,78.45911035428003,100.0
52,80105105308,93.67021104459609,99.91753444149796,Very High,577,351,0,310,2.5677511157104975,99.72539324351231,100.0,0.0,98.4227721963571,12.824956672443674,54.24610051993067,42.114384748700175,37.43500866551127,1.0,100,1.5772278036428982,100.0,84.46399321520926,98.4227721963571,81.0624247206878,100.0
53,20703116353,93.58548779296758,99.91591746976263,Very High,118,562,1036,440,13.838044110988939,97.58080573438642,90.0,0.0,84.88336867327725,53.38983050847458,25.423728813559322,81.35593220338984,81.35593220338984,1.8,100,12.963325982193904,97.84669465547115,98.79353781938822,84.88336867327725,99.82722099929393,95.18198004223427
54,60201103607,93.55608949580377,99.9143004980273,Very High,315,357,325,222,2.5936226634758426,99.34044600783169,95.7983193277311,0.0,98.01012274988723,34.92063492063492,40.63492063492063,21.26984126984127,17.77777777777778,1.0,100,1.6033651882708488,99.61348793815807,96.46043452593771,98.01012274988723,51.95414711135108,100.0
55,12602150022,93.44692642105166,99.91268352629196,Very High,283,339,450,440,2.453754608369446,99.72539324351231,100.0,0.0,98.53794004737401,14.840989399293287,48.409893992932865,44.16961130742049,36.74911660777385,1.0,100,1.4620599526259905,100.0,83.16440645552886,98.53794004737401,81.67545790588528,100.0
56,20701151917,93.4467655672247,99.91106655455663,Very High,485,376,1204,350,2.6930664251988876,99.41594212517421,97.85867237687366,0.0,97.985460189852,28.659793814432987,38.35051546391753,27.216494845360824,22.474226804123713,1.6,0,1.703830760434534,99.68929095028653,92.62569739500621,97.985460189852,62.32753249989618,98.09283259492359
57,21205156702,93.44315495562849,99.9094495828213,Very High,1166,254,524,450,2.196656102451329,99.41428286984801,97.83978397839785,0.0,98.48530525713424,10.720411663807889,53.945111492281306,52.91595197255574,45.02572898799314,1.3,100,1.2023196928857307,99.68762495001998,80.88368573780443,98.48530525713424,88.4155002699672,99.57682911680675
58,30302105817,93.38925269263686,99.90783261108595,Very High,226,537,1625,443,11.586410969536253,98.72818079246034,92.65536723163842,0.0,88.31017711350484,46.017699115044245,39.38053097345133,52.654867256637175,41.150442477876105,1.9,0,10.688556726292575,98.99873383979741,98.73200907964646,88.31017711350484,86.92029737924159,92.55848619104799
59,30403109604,93.34874959733948,99.90621563935062,Very High,402,490,1069,380,7.711338205808163,99.35289042277826,95.97701149425288,0.0,92.85231635516993,38.80597014925373,38.059701492537314,60.447761194029844,52.23880597014925,2.3,100,6.77366658498734,99.62598294015727,97.2220605476058,92.85231635516993,93.16027744320307,72.84998550784645
60,20604111731,93.33210233462076,99.90459866761529,Very High,320,545,1312,260,12.261496669038225,98.962965421119,93.37979094076655,0.0,87.86389377108748,41.5625,34.0625,62.5,55.3125,2.0,0,11.370579106428162,99.23447287751564,97.40830970574298,87.86389377108748,94.52755741994434,88.8973541468262
61,40101100157,93.32882585725795,99.90298169587996,Very High,189,539,1562,380,11.746491171334325,95.44202561890224,87.00564971751412,0.0,84.84893851819722,48.148148148148145,32.804232804232804,69.31216931216932,59.78835978835979,1.4,0,10.85028179367802,95.69922031187524,98.57402988301226,84.84893851819722,97.02620758400133,99.30686099954453
62,50301103504,93.13743407879174,99.90136472414463,Very High,494,533,1013,340,11.231485673630424,99.12391318776133,94.11764705882352,0.0,89.0660904224441,43.522267206477736,25.303643724696357,63.76518218623482,53.441295546558706,2.1,100,10.329984480927875,99.39607490337198,96.75643765226285,89.0660904224441,94.3913278232338,84.26649000041407
63,20604150526,92.96519521645689,99.89974775240928,Very High,32,537,956,310,11.586410969536253,96.56783035773545,88.46153846153845,0.0,86.14104476644366,56.25,12.5,71.875,46.875,1.9,100,10.688556726292575,96.82960149273623,98.226475650417,86.14104476644366,94.78921792582132,92.55848619104799
64,20604150431,92.90052283070972,99.89813078067395,Very High,534,567,1337,350,14.33607140547183,98.21298201367227,91.3135593220339,0.0,85.01497012074857,44.756554307116104,24.719101123595504,64.04494382022472,52.05992509363296,1.7,0,13.466470636281954,98.48144075703053,97.0607554731477,85.01497012074857,94.10391660090544,96.97486646515671
65,40101100149,92.81226654238775,99.89651380893862,Very High,433,570,1195,382,14.64976392212664,97.94833078914183,90.72164948453609,0.0,84.43232728961834,45.72748267898383,32.10161662817552,68.82217090069284,63.279445727482674,1.9,100,13.783386424895857,98.2157137145142,98.08845172072604,84.43232728961834,97.50633384557878,92.55848619104799
66,20604111742,92.29302546440579,99.89489683720329,Very High,232,529,616,301,10.914559213504948,98.96462467644521,93.38842975206612,0.0,89.22633735854674,34.05172413793103,40.94827586206897,33.189655172413794,29.310344827586203,1.4,100,10.009801519235479,99.23613887778222,96.18688107492372,89.22633735854674,72.00980188561698,99.30686099954453
67,50301103507,92.26030136116918,99.89327986546796,Very High,319,576,1027,310,15.44612250177867,99.14299462401274,94.23076923076923,0.0,84.82730611096245,52.97805642633229,14.733542319749215,70.21943573667711,63.94984326018809,2.1,100,14.587927795474965,99.41523390643742,97.80907798352028,84.82730611096245,97.79540640445236,84.26649000041407
68,20604150421,92.01423878955896,99.89166289373262,Very High,756,627,975,375,21.453172498544724,98.9795579743811,93.47222222222223,0.0,78.594431091404,51.05820105820106,38.88888888888889,85.31746031746032,78.04232804232805,1.6,100,20.65670178877726,99.25113288018126,99.30073418752963,78.594431091404,99.84051169165595,98.09283259492359
69,30403109606,91.94485573641923,99.89004592199728,Very High,455,544,1175,380,12.179031110536188,99.27490542244641,95.06493506493506,0.0,88.26041473470238,45.494505494505496,25.934065934065938,61.53846153846154,57.58241758241758,2.3,100,11.28726619292657,99.54768092762895,97.38835443879971,88.26041473470238,94.89471279644475,72.84998550784645
70,21205156708,91.92880370453338,99.88842895026195,Very High,221,622,1025,400,20.76191708168941,99.34542377381031,95.91836734693877,0.0,79.66014239570855,42.98642533936652,38.009049773755656,71.04072398190046,70.58823529411765,1.7,100,19.958343543249203,99.61848593895775,98.14499164373197,79.66014239570855,98.71246417743073,96.97486646515671
71,20604150318,91.88194862368809,99.88681197852661,Very High,464,629,1046,394,21.712696462065843,99.11644653879338,94.06392694063926,0.0,78.46968547384607,49.78448275862069,34.26724137931034,83.83620689655173,75.43103448275862,1.6,100,20.91889242832639,99.38857790217246,98.90162884866427,78.46968547384607,99.74581550857665,98.09283259492359
