SA1_CODE_2021,Median_rent_weekly,Median_tot_hhd_inc_weekly,Median_tot_prsnl_inc_weekly,Median_age_persons,Average_household_size,rent_to_income_ratio,rental_stress,severe_rental_stress,stress_category,low_income_households,total_households,low_income_pct,high_low_income_concentration,public_housing_dwellings,total_rental_dwellings,total_dwellings,public_housing_rate,estimated_demand,public_housing_gap,supply_demand_ratio,critical_housing_gap,unemployment_rate,labour_force_participation,norm_rent_income_ratio,norm_low_income_pct,norm_public_housing_gap,norm_unemployment,norm_public_housing_rate,rental_stress_score,displacement_risk_score,stress_risk_category,displacement_risk_category,investment_priority_score,investment_priority
20604111743,340,826,523,25,1.7,0.4116222760290557,1,0,Moderate Stress (30-50%),320,535,59.813084112149525,1,0,919,459,0.0,320,320,0.0,1,13.4,65.9,0.0,0.0,0.7576948264571054,0.134,1.0,26.49389652914211,22.68,Moderate (25-50),Low (0-25),34.66840340537001,Moderate Priority
31301136354,173,533,452,79,1.3,0.324577861163227,1,0,Moderate Stress (30-50%),403,286,140.9090909090909,1,55,240,121,45.45454545454545,403,348,0.13647642679900746,1,12.5,3.2,0.0,0.0,0.7760314341846758,0.125,0.8484848484848485,25.255477168542,19.46969696969697,Moderate (25-50),Low (0-25),34.633133892957076,Moderate Priority
31603142735,430,1008,634,57,1.9,0.42658730158730157,1,0,Moderate Stress (30-50%),369,518,71.23552123552123,1,0,254,127,0.0,369,369,0.0,1,4.0,48.7,0.0,0.0,0.7897838899803536,0.04,1.0,26.195677799607076,20.8,Moderate (25-50),Low (0-25),34.57178781925344,Moderate Priority
31402138931,290,721,494,78,1.5,0.40221914008321774,1,0,Moderate Stress (30-50%),374,347,107.78097982708934,1,4,133,70,5.714285714285714,374,370,0.0106951871657754,1,4.2,12.2,0.0,0.0,0.7904387688277669,0.042,0.9809523809523809,26.03829918607915,20.459047619047617,Moderate (25-50),Low (0-25),34.54848273926467,Moderate Priority
31103131318,260,670,485,66,1.4,0.3880597014925373,1,0,Moderate Stress (30-50%),342,301,113.62126245847175,1,0,261,132,0.0,342,342,0.0,1,8.6,24.6,0.0,0.0,0.7721021611001965,0.086,1.0,26.302043222003935,21.72,Moderate (25-50),Low (0-25),34.54388212180747,Moderate Priority
70204106204,100,900,210,27,4.5,0.1111111111111111,0,0,Affordable (<30%),0,14,0.0,0,0,5,5,0.0,0,0,0.0,0,69.2,28.9,0.0,0.0,0.5481335952848723,0.6920000000000001,1.0,27.88267190569745,33.84,Moderate (25-50),Moderate (25-50),34.51707662082515,Moderate Priority
50701115906,393,603,489,75,1.6,0.6517412935323383,1,1,Severe Stress (50%+),347,301,115.28239202657807,1,0,28,16,0.0,347,347,0.0,1,6.7,21.4,0.0,0.0,0.7753765553372626,0.067,1.0,26.177531106745256,21.34,Moderate (25-50),Low (0-25),34.40230910281598,Moderate Priority
31105132806,350,651,503,75,1.5,0.5376344086021505,1,1,Severe Stress (50%+),326,285,114.3859649122807,1,0,67,35,0.0,326,326,0.0,1,10.2,13.4,0.0,0.0,0.7616240995415848,0.102,1.0,26.2524819908317,22.040000000000003,Moderate (25-50),Low (0-25),34.36971578258022,Moderate Priority
31305138009,400,767,468,76,1.9,0.5215123859191656,1,1,Severe Stress (50%+),353,368,95.92391304347827,1,0,120,61,0.0,353,353,0.0,1,5.3,18.4,0.0,0.0,0.779305828421742,0.053,1.0,26.116116568434844,21.060000000000002,Moderate (25-50),Low (0-25),34.3556214800262,Moderate Priority
31901149705,510,685,422,78,1.5,0.7445255474452555,1,1,Severe Stress (50%+),345,286,120.62937062937063,1,0,0,0,0.0,345,345,0.0,1,6.3,3.5,0.0,0.0,0.7740667976424361,0.063,1.0,26.111335952848723,21.26,Moderate (25-50),Low (0-25),34.29653831041258,Moderate Priority
