SA1_CODE_2021,Median_rent_weekly,Median_tot_hhd_inc_weekly,Median_tot_prsnl_inc_weekly,Median_age_persons,Average_household_size,rent_to_income_ratio,rental_stress,severe_rental_stress,stress_category,low_income_households,total_households,low_income_pct,high_low_income_concentration,public_housing_dwellings,total_rental_dwellings,total_dwellings,public_housing_rate,estimated_demand,public_housing_gap,supply_demand_ratio,critical_housing_gap,unemployment_rate,labour_force_participation,norm_rent_income_ratio,norm_low_income_pct,norm_public_housing_gap,norm_unemployment,norm_public_housing_rate,rental_stress_score,displacement_risk_score,stress_risk_category,displacement_risk_category,investment_priority_score,investment_priority
11901157228,250,900,574,31,2.0,0.2777777777777778,0,0,Affordable (<30%),0,6,0.0,0,0,19,10,0.0,0,0,0.0,0,20.0,52.6,0.0,0.0,0.5481335952848723,0.2,1.0,22.962671905697448,24.000000000000004,Low (0-25),Low (0-25),27.629076620825145,Moderate Priority
11902157314,350,1136,498,32,3.0,0.30809859154929575,1,0,Moderate Stress (30-50%),88,163,53.987730061349694,1,0,183,93,0.0,88,88,0.0,1,20.0,44.8,0.0,0.0,0.6057629338572365,0.2,1.0,24.115258677144734,24.000000000000004,Low (0-25),Low (0-25),29.818991486574987,Moderate Priority
12501158209,365,1183,542,31,3.0,0.30853761622992393,1,0,Moderate Stress (30-50%),61,135,45.18518518518518,0,0,177,87,0.0,61,61,0.0,1,20.0,44.3,0.0,0.0,0.5880812049770793,0.2,1.0,23.761624099541585,24.000000000000004,Low (0-25),Low (0-25),29.14708578912901,Moderate Priority
12502171119,252,725,450,88,2.1,0.34758620689655173,1,0,Moderate Stress (30-50%),0,14,0.0,0,0,6,3,0.0,0,0,0.0,0,20.0,5.4,0.0,0.0,0.5481335952848723,0.2,1.0,22.962671905697448,24.000000000000004,Low (0-25),Low (0-25),27.629076620825145,Moderate Priority
12602150022,440,450,339,21,1.0,0.9777777777777777,1,1,Severe Stress (50%+),0,0,0.0,0,0,3,0,0.0,0,0,0.0,0,20.0,62.1,0.0,0.0,0.5481335952848723,0.2,1.0,22.962671905697448,24.000000000000004,Low (0-25),Low (0-25),27.629076620825145,Moderate Priority
20302104727,311,1125,900,46,1.8,0.27644444444444444,0,0,Affordable (<30%),0,7,0.0,0,0,10,6,0.0,0,0,0.0,0,20.0,71.4,0.0,0.0,0.5481335952848723,0.2,1.0,22.962671905697448,24.000000000000004,Low (0-25),Low (0-25),27.629076620825145,Moderate Priority
20504109604,0,724,474,58,1.3,0.0,0,0,No Data,0,4,0.0,0,0,0,0,0.0,0,0,0.0,0,20.0,35.7,0.0,0.0,0.5481335952848723,0.2,1.0,22.962671905697448,24.000000000000004,Low (0-25),Low (0-25),27.629076620825145,Moderate Priority
20604150528,700,4250,1374,51,2.1,0.16470588235294117,0,0,Affordable (<30%),0,10,0.0,0,0,4,4,0.0,0,0,0.0,0,20.0,65.2,0.0,0.0,0.5481335952848723,0.2,1.0,22.962671905697448,24.000000000000004,Low (0-25),Low (0-25),27.629076620825145,Moderate Priority
20802117449,154,696,622,84,1.2,0.22126436781609196,0,0,Affordable (<30%),229,280,81.78571428571428,1,0,22,13,0.0,0,0,0.0,0,20.0,2.7,0.0,0.0,0.5481335952848723,0.2,1.0,22.962671905697448,24.000000000000004,Low (0-25),Low (0-25),27.629076620825145,Moderate Priority
21001122818,286,725,612,57,1.2,0.39448275862068966,1,0,Moderate Stress (30-50%),0,3,0.0,0,0,12,3,0.0,0,0,0.0,0,20.0,62.5,0.0,0.0,0.5481335952848723,0.2,1.0,22.962671905697448,24.000000000000004,Low (0-25),Low (0-25),27.629076620825145,Moderate Priority
21301134010,0,1125,350,54,2.7,0.0,0,0,No Data,0,4,0.0,0,0,0,0,0.0,0,0,0.0,0,20.0,31.3,0.0,0.0,0.5481335952848723,0.2,1.0,22.962671905697448,24.000000000000004,Low (0-25),Low (0-25),27.629076620825145,Moderate Priority
21305136125,0,824,1187,69,1.5,0.0,0,0,No Data,0,3,0.0,0,0,0,0,0.0,0,0,0.0,0,20.0,71.4,0.0,0.0,0.5481335952848723,0.2,1.0,22.962671905697448,24.000000000000004,Low (0-25),Low (0-25),27.629076620825145,Moderate Priority
30201102219,0,3749,749,51,3.0,0.0,0,0,No Data,0,6,0.0,0,0,0,0,0.0,0,0,0.0,0,20.0,38.5,0.0,0.0,0.5481335952848723,0.2,1.0,22.962671905697448,24.000000000000004,Low (0-25),Low (0-25),27.629076620825145,Moderate Priority
30202103007,425,1375,575,53,1.6,0.3090909090909091,1,0,Moderate Stress (30-50%),0,10,0.0,0,0,10,7,0.0,0,0,0.0,0,20.0,55.6,0.0,0.0,0.5481335952848723,0.2,1.0,22.962671905697448,24.000000000000004,Low (0-25),Low (0-25),27.629076620825145,Moderate Priority
30404110008,166,718,550,83,1.3,0.23119777158774374,0,0,Affordable (<30%),227,226,100.44247787610618,1,0,17,9,0.0,0,0,0.0,0,20.0,1.5,0.0,0.0,0.5481335952848723,0.2,1.0,22.962671905697448,24.000000000000004,Low (0-25),Low (0-25),27.629076620825145,Moderate Priority
31001127102,290,1499,725,44,2.6,0.1934623082054703,0,0,Affordable (<30%),0,11,0.0,0,0,4,4,0.0,0,0,0.0,0,20.0,65.2,0.0,0.0,0.5481335952848723,0.2,1.0,22.962671905697448,24.000000000000004,Low (0-25),Low (0-25),27.629076620825145,Moderate Priority
31904151819,440,1125,474,29,3.1,0.39111111111111113,1,0,Moderate Stress (30-50%),0,11,0.0,0,0,6,3,0.0,0,0,0.0,0,20.0,65.2,0.0,0.0,0.5481335952848723,0.2,1.0,22.962671905697448,24.000000000000004,Low (0-25),Low (0-25),27.629076620825145,Moderate Priority
40303106806,345,725,762,38,2.0,0.47586206896551725,1,0,Moderate Stress (30-50%),0,8,0.0,0,0,8,3,0.0,0,0,0.0,0,20.0,55.6,0.0,0.0,0.5481335952848723,0.2,1.0,22.962671905697448,24.000000000000004,Low (0-25),Low (0-25),27.629076620825145,Moderate Priority
