SAL_CODE_2021,Tot_P_M,Tot_P_F,Tot_P_P,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,M_PGrad_Deg_15_24,M_PGrad_Deg_25_34,M_PGrad_Deg_35_44,M_PGrad_Deg_45_54,M_PGrad_Deg_55_64,M_PGrad_Deg_65_74,M_PGrad_Deg_75_84,M_PGrad_Deg_85ov,M_PGrad_Deg_Total,M_GradDip_and_GradCert_15_24,M_GradDip_and_GradCert_25_34,M_GradDip_and_GradCert_35_44,M_GradDip_and_GradCert_45_54,M_GradDip_and_GradCert_55_64,M_GradDip_and_GradCert_65_74,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,M_3000_3499_15_19_yrs,M_3000_3499_20_24_yrs,M_3000_3499_25_34_yrs,M_3000_3499_35_44_yrs,M_3000_3499_45_54_yrs,M_3000_3499_55_64_yrs,M_3000_3499_65_74_yrs,M_3000_3499_75_84_yrs,M_3000_3499_85ov,M_3000_3499_Tot,F_3000_3499_15_19_yrs,F_3000_3499_20_24_yrs,F_3000_3499_25_34_yrs,F_3000_3499_35_44_yrs,F_3000_3499_45_54_yrs,F_3000_3499_55_64_yrs,F_3000_3499_65_74_yrs,F_3000_3499_75_84_yrs,F_3000_3499_85ov,F_3000_3499_Tot,P_3000_3499_15_19_yrs,P_3000_3499_20_24_yrs,P_3000_3499_25_34_yrs,P_3000_3499_35_44_yrs,P_3000_3499_45_54_yrs,P_3000_3499_55_64_yrs,P_3000_3499_65_74_yrs,P_3000_3499_75_84_yrs,P_3000_3499_85ov,P_3000_3499_Tot,Suburb_Name,KMeans_10,anomaly_score,is_anomaly,age_zscore,income_zscore,population_zscore
SAL12511,14843,15877,30722,39,3000,1026,540,2741,1.0,2141,2.4,12300,13492,25793,9,283,431,343,218,121,59,12,1464,0,28,53,57,33,22,975,668,409,222,76,20,3067,5,108,153,154,112,76,30,3,0,4,56,172,131,78,28,3,6,476,0,3,43,112,94,39,11,6,6,308,0,12,99,284,222,118,37,11,13,789,Maroubra,1,-0.8135411041233598,True,-0.3856490318317584,0.8073203671262105,7.2008916392449045
SAL21816,17373,17968,35340,40,2600,810,476,2383,0.8,2066,2.7,14343,15000,29344,35,476,669,450,331,190,72,16,2245,0,44,68,88,78,71,1361,822,544,273,117,21,4198,9,116,197,234,224,164,55,15,0,0,50,208,157,105,15,9,5,556,0,0,20,93,66,54,8,0,0,236,0,0,65,297,227,157,22,7,6,795,Mount Waverley,1,-0.8102452138456119,True,-0.30454095680358995,0.14752574814710098,8.344968394006028
SAL11431,14339,15211,29551,36,2600,946,500,2445,1.1,2243,2.8,11537,12412,23951,19,593,818,445,360,198,49,18,2495,3,49,72,60,52,41,1685,813,555,292,75,21,4877,16,105,161,150,119,106,34,5,0,0,71,192,124,77,17,9,0,493,0,0,31,83,52,40,4,0,5,212,0,4,102,274,172,115,21,8,5,704,Epping (NSW),9,-0.8069626761725055,True,-0.6289732569162638,0.5629519897265403,6.9107846925525545
SAL20453,10323,11642,21965,43,3000,1043,486,3264,0.8,2457,2.6,8576,9913,18498,10,227,280,323,303,203,96,30,1486,5,36,55,86,85,59,620,648,495,339,151,51,2823,11,80,136,221,208,156,42,11,0,5,31,104,98,94,45,11,6,382,0,0,21,65,95,45,16,5,3,257,0,3,55,166,189,133,58,17,8,639,Camberwell (Vic.),1,-0.805326397649352,True,-0.0612167317190845,0.8592486473236404,5.031406983237293
SAL13690,13258,12659,25915,32,2765,815,480,2423,1.1,2262,2.8,11765,11230,22989,42,627,287,223,203,130,69,19,1602,3,52,35,38,27,22,565,422,320,205,97,28,2903,46,121,96,94,66,57,24,0,0,5,63,85,54,85,27,12,0,337,0,6,31,35,41,43,15,0,3,181,0,12,101,122,89,135,45,16,10,517,Strathfield (NSW),2,-0.8036934370087777,True,-0.9534055570289377,0.16279877173458038,6.009991474641891
SAL13654,8834,9549,18384,43,3467,1077,688,3306,0.8,2888,2.9,6889,7717,14602,9,83,371,346,239,127,88,23,1283,0,10,35,41,33,36,801,649,402,201,122,29,2433,3,33,82,119,92,79,45,9,0,3,20,100,120,79,49,11,6,385,0,0,20,64,81,41,17,10,0,240,0,5,41,169,201,128,61,20,4,629,St Ives (NSW),1,-0.8015213056792482,True,-0.0612167317190845,0.9631052077185002,4.14423962533353
SAL22170,13880,14702,28587,34,2292,1356,441,3096,1.0,2245,2.0,12575,13253,25833,22,627,407,196,160,100,32,7,1550,5,159,102,101,56,34,837,422,298,176,57,8,3366,22,396,246,213,156,82,33,0,0,3,205,188,104,68,22,0,0,601,0,0,100,149,75,48,7,0,0,385,0,3,306,341,182,120,30,3,4,987,Richmond (Vic.),9,-0.8004374424783214,True,-0.7911894069726008,1.8153399238998498,6.671960528067989
SAL10233,18481,18938,37415,39,2600,973,520,2748,0.9,2474,3.0,14275,15030,29310,9,229,830,455,225,144,43,12,1945,5,29,83,80,47,40,1739,833,351,223,58,18,3828,19,75,208,199,113,113,26,0,0,0,55,329,223,86,21,0,0,708,0,0,28,134,74,20,11,0,0,267,0,0,85,458,294,106,25,4,0,976,Baulkham Hills,9,-0.7993550449395423,True,-0.3856490318317584,0.645426317098929,8.859034930629962
SAL10891,12184,13371,25553,37,2858,938,577,2455,1.1,2158,2.5,9981,11297,21279,18,411,654,333,217,133,53,20,1843,5,33,59,68,32,18,1363,700,366,229,85,21,3792,10,82,140,123,95,54,26,9,0,0,68,200,102,47,19,6,0,446,0,3,34,93,63,29,8,5,4,238,0,9,103,292,168,80,28,4,4,689,Chatswood,9,-0.7982741110809584,True,-0.5478651818880954,0.5385151519865733,5.9203085415055705
SAL20124,10449,10850,21302,42,3078,854,554,2727,0.8,2346,2.9,8448,9062,17505,14,170,235,311,245,145,76,13,1211,0,20,25,69,56,55,538,537,406,215,106,13,2229,10,49,100,215,177,113,29,0,0,0,20,87,108,77,20,6,3,330,0,0,16,53,74,44,14,7,0,204,0,0,37,138,181,123,34,11,4,538,Balwyn North,2,-0.7977341924131123,True,-0.14232480674725298,0.2819283557169196,4.86715343442685
