SAL_CODE_2021,Suburb_Name,PCA_X,PCA_Y,PCA_Z,tSNE_X,tSNE_Y,UMAP_X,UMAP_Y,UMAP_Z
SAL13159,Para,-2.2414736061071934,0.03870154030332828,1.2679387883051385,-70.6497,39.476543,-0.790852,-1.9084926,-0.34977955
SAL13160,Paradise (NSW),-2.237929178565683,-0.054073476760587304,-0.12146757438624667,-67.382256,38.144512,-0.8080509,-1.4605275,-0.5067963
SAL13161,Paringi,-2.264995362066145,0.01684409878341141,-0.6843771537728324,-45.576717,23.373648,-0.28770387,0.50249076,-0.6675178
SAL13162,Parkes (NSW),5.841683005154446,-1.7414089624388505,0.18753708353956203,63.95415,-8.11924,-4.0963483,16.374763,-2.5956593
SAL13163,Parkesbourne,-2.0160959935961476,0.30805618547205377,1.0155746892921549,-0.03205386,57.32294,-2.7384202,4.227714,-0.7078153
SAL13164,Parklea,2.80061030662153,-0.9740440814362271,3.1867997698982435,53.31061,13.258754,-2.7575073,10.857133,-1.8931195
SAL13165,Parkville (NSW),-1.930166190090679,0.1675571025778306,0.8817372753807656,6.350081,31.55392,-2.0717876,5.8866005,-2.0763912
SAL13166,Parma,-2.018797251860749,0.24382476285832946,0.7273065555713698,6.624911,13.936927,-1.002532,5.867877,-1.0041113
SAL13167,Parramatta,48.462130377914704,-30.22559920792273,-3.5719715841692796,95.108055,-19.067669,-5.604381,18.655355,-3.6334589
SAL13168,Parraweena,-2.217799972543586,0.1693353084778097,0.1249077513875873,-54.677086,28.424809,-1.3127891,0.00011622601,-0.31627724
SAL13169,Patchs Beach,-2.0572485145117367,0.2614351882714287,0.6736348286443296,7.8268256,16.520575,-1.6639339,5.857975,-1.3179728
SAL13170,Paterson (NSW),-1.490778374156003,-0.0058254984859956,0.9918548325925074,28.380997,24.673763,-2.1270292,7.030172,-1.9918509
SAL13171,Patonga,-1.9636021589459376,0.3836893082182357,-0.5257826126079534,-0.28682715,-52.673084,2.9501119,4.824601,0.83300173
SAL13172,Paupong,-2.2730085813763434,0.2600038039159001,-0.028695643261985516,-63.743546,23.048502,-0.86646116,0.014219004,0.584306
SAL13173,Paxton,-1.480584540912496,-0.16975109275976177,0.5507279682196652,18.496061,18.127592,-1.7512693,7.2108836,-2.2462215
