SA1_CODE_2021,SA2_CODE,SA3_CODE,total_commuters,total_car,total_public_transit,total_active_transport,car_dependency_ratio,public_transit_ratio,active_transport_ratio,total_population,sa2_employment,sa2_employment_density,sa3_employment,sa3_employment_density,car_dependency_score,commuter_volume_score,employment_proximity_score,transit_gap_score,tod_score,commute_pain_score,state,tod_category,car_dep_category,transit_category,investment_priority
40205105422,402051054,40205,229,208,21,0,0.9082969432314412,0.0917030567685589,0.0,548,8480,0.5210125337920866,48240,0.4990689013035381,90.82969432314412,92.89987711014813,73.49015264213182,82.50033370835797,87.14990476156423,4.939390813345086,SA,Extreme (85-100),Extreme (>90%),Low (5-10%),Priority 2
40205105423,402051054,40205,278,253,22,0,0.9100719424460432,0.079136690647482,0.0,716,8480,0.5210125337920866,48240,0.4990689013035381,91.00719424460432,97.24791410646142,73.49015264213182,83.80518606697377,88.65580106490391,5.124807844607214,SA,Extreme (85-100),Extreme (>90%),Low (5-10%),Priority 2
40205105424,402051054,40205,281,253,24,0,0.900355871886121,0.0854092526690391,0.0,662,8480,0.5210125337920866,48240,0.4990689013035381,90.0355871886121,97.3732294159498,73.49015264213182,82.34571497321463,88.1588057259776,5.0797241599549565,SA,Extreme (85-100),Extreme (>90%),Low (5-10%),Priority 2
40205105427,402051054,40205,251,225,22,4,0.896414342629482,0.0876494023904382,0.0159362549800796,551,8480,0.5210125337920866,48240,0.4990689013035381,89.64143426294821,95.37950326628292,73.49015264213182,81.78441612037903,87.34689682552842,4.956659540597889,SA,Extreme (85-100),Very High (80-90%),Low (5-10%),Priority 2
40205105430,402051054,40205,219,188,20,3,0.8584474885844748,0.091324200913242,0.0136986301369863,544,8480,0.5210125337920866,48240,0.4990689013035381,85.84474885844749,91.33707392794774,73.49015264213182,78.00504576635183,84.23755682682486,4.630146021526229,SA,Very High (75-85),Very High (80-90%),Low (5-10%),Priority 2
40205105432,402051054,40205,204,184,17,0,0.9019607843137256,0.0833333333333333,0.0,490,8480,0.5210125337920866,48240,0.4990689013035381,90.19607843137256,88.44592846517043,73.49015264213182,82.6797385620915,85.57821429673567,4.8011462556934665,SA,Extreme (85-100),Extreme (>90%),Low (5-10%),Priority 2
40205105433,402051054,40205,226,204,19,0,0.9026548672566372,0.084070796460177,0.0,493,8480,0.5210125337920866,48240,0.4990689013035381,90.2654867256637,92.45763534053424,73.49015264213182,82.67679536377163,86.80919535722927,4.896857537903567,SA,Extreme (85-100),Extreme (>90%),Low (5-10%),Priority 2
40205105436,402051054,40205,264,235,22,3,0.8901515151515151,0.0833333333333333,0.0113636363636363,676,8480,0.5210125337920866,48240,0.4990689013035381,89.01515151515152,96.38687665739604,73.49015264213182,81.59722222222221,87.37987635392801,4.966804958737735,SA,Extreme (85-100),Very High (80-90%),Low (5-10%),Priority 2
40205105513,402051055,40205,260,217,28,7,0.8346153846153846,0.1076923076923077,0.0269230769230769,641,6304,0.4789909581338804,48240,0.4990689013035381,83.46153846153847,96.0982472026389,59.39501002522477,74.47337278106508,81.54042882855852,4.644234339957787,SA,Very High (75-85),Very High (80-90%),Moderate (10-20%),Priority 1
40205105514,402051055,40205,276,237,29,10,0.8586956521739131,0.1050724637681159,0.036231884057971,667,6304,0.4789909581338804,48240,0.4990689013035381,85.86956521739131,97.13957700019404,59.39501002522477,76.8470384373031,83.05340503578999,4.8293193803130405,SA,Very High (75-85),Very High (80-90%),Moderate (10-20%),Priority 1
40205105519,402051055,40205,238,204,21,13,0.8571428571428571,0.088235294117647,0.0546218487394958,617,6304,0.4789909581338804,48240,0.4990689013035381,85.71428571428571,94.0260979238083,59.39501002522477,78.15126050420167,82.1876717183219,4.694111615941295,SA,Very High (75-85),Very High (80-90%),Low (5-10%),Priority 1
40205105530,402051055,40205,243,220,23,0,0.9053497942386832,0.0946502057613168,0.0,604,6304,0.4789909581338804,48240,0.4990689013035381,90.53497942386832,94.5677834551452,59.39501002522477,81.96582499280258,84.65991131041609,4.976860121664627,SA,Very High (75-85),Extreme (>90%),Low (5-10%),Priority 1
40301105617,403011056,40301,227,202,16,6,0.8898678414096917,0.0704845814977973,0.026431718061674,661,7138,0.4698834836416299,17566,0.4918932541793845,88.98678414096916,92.59912036737596,53.50357350753509,82.71458790195813,82.3466232583033,4.831400075104833,SA,Very High (75-85),Very High (80-90%),Low (5-10%),Priority 1
40301105627,403011056,40301,219,194,21,0,0.8858447488584474,0.0958904109589041,0.0,564,7138,0.4698834836416299,17566,0.4918932541793845,88.58447488584474,91.33707392794774,53.50357350753509,80.09007318446237,81.54463415267548,4.777916639234512,SA,Very High (75-85),Very High (80-90%),Low (5-10%),Priority 1
40301105701,403011057,40301,250,216,13,10,0.864,0.052,0.04,532,10437,0.5085761621674301,17566,0.4918932541793845,86.4,95.28976133497189,66.96445896125735,81.90719999999999,84.73054019274304,4.773991339409861,SA,Very High (75-85),Very High (80-90%),Low (5-10%),Priority 1
40301105708,403011057,40301,250,233,13,4,0.932,0.052,0.016,625,10437,0.5085761621674301,17566,0.4918932541793845,93.2,95.28976133497189,66.96445896125735,88.3536,88.09518019274303,5.149722139270822,SA,Extreme (85-100),Extreme (>90%),Low (5-10%),Priority 1
40301105709,403011057,40301,247,220,16,11,0.8906882591093117,0.0647773279352226,0.0445344129554655,616,10437,0.5085761621674301,17566,0.4918932541793845,89.06882591093117,94.98091973352308,66.96445896125735,83.29918536609352,85.84461661329021,4.910746251644923,SA,Extreme (85-100),Very High (80-90%),Low (5-10%),Priority 1
40301105724,403011057,40301,214,186,9,15,0.8691588785046729,0.0420560747663551,0.0700934579439252,511,10437,0.5085761621674301,17566,0.4918932541793845,86.91588785046729,90.44612250177867,66.96445896125735,83.2605467726439,83.61913836023639,4.667937725381987,SA,Very High (75-85),Very High (80-90%),Very Low (<5%),Priority 1
40301105727,403011057,40301,248,208,28,12,0.8387096774193549,0.1129032258064516,0.0483870967741935,612,10437,0.5085761621674301,17566,0.4918932541793845,83.87096774193549,95.07389560830477,66.96445896125735,74.40166493236212,82.90361406475333,4.6275411389704,SA,Very High (75-85),Very High (80-90%),Moderate (10-20%),Priority 1
40301105740,403011057,40301,215,188,18,9,0.8744186046511628,0.0837209302325581,0.041860465116279,537,10437,0.5085761621674301,17566,0.4918932541793845,87.44186046511628,90.62479787853307,66.96445896125735,80.1211465657112,83.56918999842902,4.700243444858712,SA,Very High (75-85),Very High (80-90%),Low (5-10%),Priority 1
40301105747,403011057,40301,212,177,6,22,0.8349056603773585,0.0283018867924528,0.1037735849056603,582,10437,0.5085761621674301,17566,0.4918932541793845,83.49056603773585,90.09119720587285,66.96445896125735,81.12762548949804,81.92923991805748,4.4761731760875865,SA,Very High (75-85),Very High (80-90%),Very Low (<5%),Priority 1
40302105801,403021058,40302,312,235,51,19,0.7532051282051282,0.1634615384615384,0.0608974358974358,697,7603,0.5220764952276317,48647,0.5050246039490895,75.32051282051282,98.42183558631396,76.45284910419765,63.008505917159766,81.24617621665482,4.328069710823512,SA,Very High (75-85),High (70-80%),Moderate (10-20%),Priority 1
40302105803,403021058,40302,252,194,47,11,0.7698412698412699,0.1865079365079365,0.0436507936507936,614,7603,0.5220764952276317,48647,0.5050246039490895,76.98412698412699,95.4555009378436,76.45284910419765,62.62597631645252,80.98346852748867,4.2598315905283295,SA,Very High (75-85),High (70-80%),Moderate (10-20%),Priority 1
40302105814,403021058,40302,307,241,44,16,0.7850162866449512,0.1433224755700325,0.0521172638436482,796,7603,0.5220764952276317,48647,0.5050246039490895,78.50162866449512,98.29894573442856,76.45284910419765,67.25058090802024,82.90596309776818,4.498221653734956,SA,Very High (75-85),High (70-80%),Moderate (10-20%),Priority 1
40302105815,403021058,40302,319,271,39,0,0.8495297805642633,0.122257053291536,0.0,692,7603,0.5220764952276317,48647,0.5050246039490895,84.95297805642633,98.58434124571502,76.45284910419765,74.56687729090713,86.30375114621529,4.900360469780916,SA,Extreme (85-100),Very High (80-90%),Moderate (10-20%),Priority 1
40302105817,403021058,40302,260,195,53,9,0.75,0.2038461538461538,0.0346153846153846,545,7603,0.5220764952276317,48647,0.5050246039490895,75.0,96.0982472026389,76.45284910419765,59.71153846153848,80.09119782778505,4.1733903054920205,SA,Very High (75-85),High (70-80%),High (20-30%),Priority 1
40302105818,403021058,40302,245,211,34,0,0.8612244897959184,0.1387755102040816,0.0,615,7603,0.5220764952276317,48647,0.5050246039490895,86.12244897959184,94.79739344156263,76.45284910419765,74.17076218242399,85.59584366338747,4.741326343190728,SA,Extreme (85-100),Very High (80-90%),Moderate (10-20%),Priority 1
40302105819,403021058,40302,278,247,21,10,0.8884892086330936,0.0755395683453237,0.0359712230215827,754,7603,0.5220764952276317,48647,0.5050246039490895,88.84892086330936,97.24791410646142,76.45284910419765,82.13731173334715,88.21824357143643,5.003270899675818,SA,Extreme (85-100),Very High (80-90%),Low (5-10%),Priority 2
40302105824,403021058,40302,227,177,34,12,0.7797356828193832,0.1497797356828193,0.052863436123348,526,7603,0.5220764952276317,48647,0.5050246039490895,77.97356828193833,92.59912036737596,76.45284910419765,66.29470783442332,80.88920402726998,4.233454521255225,SA,Very High (75-85),High (70-80%),Moderate (10-20%),Priority 1
40302105825,403021058,40302,243,192,29,18,0.7901234567901234,0.1193415637860082,0.074074074074074,554,7603,0.5220764952276317,48647,0.5050246039490895,79.01234567901234,94.5677834551452,76.45284910419765,69.58288878727835,82.22413200771587,4.343441560725493,SA,Very High (75-85),High (70-80%),Moderate (10-20%),Priority 1
40302105828,403021058,40302,216,180,23,8,0.8333333333333334,0.1064814814814814,0.037037037037037,509,7603,0.5220764952276317,48647,0.5050246039490895,83.33333333333334,90.80023931181684,76.45284910419765,74.45987654320987,83.30996260203891,4.48324779461705,SA,Very High (75-85),Very High (80-90%),Moderate (10-20%),Priority 1
40302105909,403021059,40302,441,395,35,3,0.8956916099773242,0.0793650793650793,0.0068027210884353,1094,6666,0.5286699976207471,48647,0.5050246039490895,89.56916099773242,99.7154129745812,77.99422741090487,82.46049742648383,89.58718351629669,5.455935155148958,SA,Extreme (85-100),Very High (80-90%),Low (5-10%),Priority 2
