SA2_CODE,SA3_CODE,state,total_population,total_commuters,total_car,total_public_transit,total_active_transport,sa2_employment,sa2_employment_density,tod_score,car_dependency_ratio,public_transit_ratio,active_transport_ratio,sa1_count,tod_category
209011203,20901,VIC,18727,4784,4078,369,276,9232,0.4928201569422943,68.59180972601733,0.879023754972261,0.0801165255904529,0.031583545094815965,46,High
209011204,20901,VIC,9226,2575,2295,221,49,4676,0.5062797747942832,72.70325443380344,0.8959821051314535,0.08166648530569391,0.018592397292610193,22,High
209021205,20902,VIC,10401,3153,2701,331,92,5319,0.5110491929285165,63.56763770458534,0.7027522279683778,0.07895154780829275,0.02638926044700805,27,Medium
209021428,20902,VIC,20729,5894,4386,915,496,11388,0.5498527352614553,69.99277976729714,0.7602445439787879,0.1416924955047888,0.08365644873803699,45,High
209021429,20902,VIC,12690,3171,2461,410,251,6746,0.5313484562066793,69.97876192739605,0.7891923211622742,0.12188533634565318,0.07611203538139458,25,High
209021523,20902,VIC,14811,4381,3611,632,85,7325,0.4950996958431902,73.19416304697172,0.8343456826956088,0.13500708875447914,0.01984291471820855,30,High
209021524,20902,VIC,9788,2597,2311,212,41,4019,0.4100601979389858,63.456389532884394,0.8612092661074735,0.06984447646009505,0.015770377476827416,25,Medium
209021525,20902,VIC,12800,3437,2862,418,109,5922,0.4626923978435815,68.60862223398009,0.8464937420563466,0.1110045347771982,0.02933571103635063,28,High
209021526,20902,VIC,14098,4010,3173,637,157,7281,0.516749467707594,67.61455134747263,0.7585870269398604,0.13225141454697797,0.037711301075521904,33,High
209031209,20903,VIC,23435,6104,5672,244,101,12319,0.5254649377239379,74.88673049157643,0.9330492713409184,0.03685567800496322,0.016338677851554916,60,High
209031210,20903,VIC,3557,1096,1020,36,22,1914,0.5385481148002251,77.11823570678577,0.9404568999932736,0.027388703638632987,0.01993670178197761,10,Very High
209031211,20903,VIC,4208,1339,1257,3,34,2068,0.4919124643196955,74.72849570844141,0.9408855130548467,0.003289473684210525,0.024292941116996966,12,High
209031212,20903,VIC,5096,1498,1417,4,32,2663,0.5230799450009821,66.87239167142916,0.8533152626798343,0.0027397260273972603,0.01814885084124819,20,High
209031213,20903,VIC,9460,2950,2783,93,27,5031,0.5321557012904591,77.23422497721323,0.9428040160849261,0.03202551243168809,0.00898225982322292,25,Very High
209031214,20903,VIC,6937,1861,1748,46,43,3744,0.5398702235039654,77.56909642606568,0.9420470798816711,0.024489469575282894,0.02103311452247443,17,Very High
209031215,20903,VIC,14403,4707,4399,192,75,8106,0.5622528958868003,79.93372810697647,0.9102470197792057,0.03819835238121746,0.013907725442147734,35,Very High
209041216,20904,VIC,7353,2319,2090,164,35,3758,0.5112925170068027,65.80120926044643,0.7911127939135937,0.054241386951088225,0.010181315999473426,15,High
209041217,20904,VIC,6190,1929,1757,113,32,2851,0.4608794051083091,66.17965862380109,0.9228329965476237,0.04845321606654349,0.015243135833963362,18,High
209041220,20904,VIC,17460,5831,5420,288,45,8870,0.5077275329135661,72.30776573893358,0.9156024011290816,0.04408065050243125,0.005509548593989666,46,High
209041221,20904,VIC,11245,3626,3443,119,13,5388,0.4793594306049822,72.36457041206842,0.9511625971719474,0.03149877180509816,0.004016198130794962,29,High
209041223,20904,VIC,20013,5724,4928,617,89,7752,0.3876387638763876,59.31063483785544,0.8342008280346178,0.0855144058871062,0.01152569940892721,54,Medium
