SAL_CODE_2021,Suburb,Median_age_persons,Median_tot_prsnl_inc_weekly,Median_tot_hhd_inc_weekly,Median_mortgage_repay_monthly,Median_rent_weekly,Average_household_size,owned_outright,owned_mortgage,renting_total,renting_private,renting_social,total_dwellings,pct_owned_outright,pct_owned_mortgage,pct_renting,pct_renting_social,mortgage_stress_ratio,mortgage_stress_level,high_mortgage_count,rent_stress_ratio,rent_stress_level,high_rent_count,pct_apartments,pct_houses,pct_small_dwellings,Average_num_psns_per_bedroom,pct_low_income,pct_high_income,single_parent_families,total_households,pct_young_adults,pct_families_age,pct_retirees,total_population,homeownership_lockout_score,family_lockout_score,first_buyer_lockout_score,crisis_score,affordability_score,is_sydney_metro
SAL12327,SAL12327,38,774,2083,1560,313,2.9,61,72,17,5,0,155,39.4,46.5,11.0,0.0,17.3,Manageable (<30%),18,15.0,Manageable (<30%),0,0.0,100.0,0.0,0.9,25.8,23.2,42,155,24.6,28.5,28.0,471,19.9,11.5,20.5,15.5,90.3,True
SAL10831,SAL10831,37,725,1524,988,220,2.7,38,33,26,6,0,106,35.8,31.1,24.5,0.0,15.0,Manageable (<30%),6,14.4,Manageable (<30%),0,0.0,100.0,4.7,0.9,51.9,15.1,26,106,25.6,23.3,26.6,305,25.7,17.9,25.4,21.4,90.2,True
SAL14108,SAL14108,49,476,888,500,150,2.1,68,23,10,4,0,110,61.8,20.9,9.1,0.0,13.0,Manageable (<30%),0,16.9,Manageable (<30%),0,0.0,100.0,4.5,0.7,84.5,7.3,12,110,17.9,22.9,43.1,262,16.1,24.7,19.4,23.0,90.1,True
SAL14526,SAL14526,49,625,1354,867,200,2.7,63,26,13,0,0,112,56.2,23.2,11.6,0.0,14.8,Manageable (<30%),0,14.8,Manageable (<30%),0,0.0,94.6,0.0,0.8,43.8,7.1,23,112,19.7,21.7,43.1,355,17.4,14.8,21.0,17.5,90.0,True
SAL12241,SAL12241,42,887,1791,1300,265,2.7,52,56,13,4,0,123,42.3,45.5,10.6,0.0,16.8,Manageable (<30%),10,14.8,Manageable (<30%),0,0.0,100.0,2.4,0.8,33.3,17.9,13,123,21.8,26.5,33.0,339,18.8,13.4,19.7,16.2,90.0,True
SAL10520,SAL10520,35,860,1560,947,180,2.5,157,126,217,37,72,554,28.3,22.7,39.2,13.0,14.0,Manageable (<30%),3,11.5,Manageable (<30%),0,2.5,93.7,5.8,0.8,45.5,12.8,194,554,26.4,23.5,26.5,1699,31.6,15.9,30.4,22.2,89.9,True
SAL14181,SAL14181,46,824,2152,2015,263,2.9,69,57,13,0,0,138,50.0,41.3,9.4,0.0,21.6,Manageable (<30%),24,12.2,Manageable (<30%),0,0.0,100.0,0.0,0.8,23.2,29.0,23,138,20.4,25.8,37.5,445,16.5,9.9,21.4,15.0,89.9,True
SAL11041,SAL11041,43,628,1358,1083,180,2.7,88,76,65,7,26,243,36.2,31.3,26.7,10.7,18.4,Manageable (<30%),0,13.3,Manageable (<30%),0,0.0,98.8,1.6,0.8,53.9,12.3,43,243,24.6,26.9,30.9,748,26.0,16.8,27.2,22.6,89.9,True
SAL10011,SAL10011,37,737,2069,1560,360,3.0,28,59,8,5,0,103,27.2,57.3,7.8,0.0,17.4,Manageable (<30%),0,17.4,Manageable (<30%),0,0.0,101.0,0.0,0.9,31.1,13.6,27,103,25.9,32.2,23.0,317,20.8,13.2,18.8,16.3,89.8,True
SAL10812,SAL10812,38,861,2009,1602,260,2.8,60,94,17,3,0,186,32.3,50.5,9.1,0.0,18.4,Manageable (<30%),29,12.9,Manageable (<30%),0,0.0,98.4,2.7,0.8,37.6,11.8,26,186,19.6,27.8,27.4,562,18.2,13.8,19.0,16.5,89.8,True
