SAL_CODE,Suburb_Name,Top_Non_Australia_Country,Top_Non_Australia_Count,Australia_Count,Total_Population,Percentage_Non_Aus
SAL11296,Drummoyne,England,742,11912,16281,4.557459615502733
SAL10227,Bateau Bay,England,735,15270,17153,4.284964729201889
SAL10907,Chipping Norton,Vietnam,734,8878,12756,5.754154907494512
SAL14422,Woollahra,England,733,6561,9489,7.724733902413321
SAL11797,Guildford West,Lebanon,732,4785,7531,9.719824724472181
SAL11105,Cranebrook,England,732,18902,22037,3.3216862549348822
SAL10780,Camperdown (NSW),England,731,8420,12723,5.745500275092352
SAL10104,Asquith,India,727,4618,8611,8.442689583091395
SAL13155,Panania,Vietnam,719,13238,18724,3.8399914548173464
SAL13164,Parklea,India,719,3339,5520,13.02536231884058
SAL10814,Caringbah,England,713,13996,17320,4.11662817551963
SAL11536,Fletcher (NSW),India,706,8919,11311,6.241711608169039
SAL11551,Forestville (NSW),England,701,8339,11806,5.937658817550398
SAL12085,Katoomba,England,700,8949,11345,6.170118995152049
SAL13504,Sans Souci,Greece,696,10378,14257,4.8818124430104515
SAL12334,Lilyfield,England,692,7711,10375,6.669879518072289
SAL10515,Botany,England,684,12231,17445,3.9208942390369734
SAL12600,Merrylands West,Lebanon,682,4979,8928,7.638888888888889
SAL13268,Potts Point,England,678,5544,9146,7.413076754865515
SAL13612,South Penrith,England,677,14055,16925,4.0
SAL10777,Cammeray,England,671,6826,9754,6.879229034242362
SAL12573,Melonba,India,669,821,2058,32.50728862973761
SAL12314,Leppington,India,667,8021,12950,5.1505791505791505
SAL10238,Beacon Hill,England,660,8007,11041,5.977719409473779
SAL12991,North Balgowlah,England,659,3915,5479,12.027742288738821
SAL13192,Pemulwuy,India,658,4542,7641,8.611438293417093
SAL10237,Bayview (NSW),England,650,3743,5146,12.631169840652934
SAL13074,Oatlands (NSW),China,649,5109,8179,7.934955373517545
SAL10554,Breakfast Point,China,646,3775,6291,10.268637736448895
SAL14353,Winston Hills,India,641,12407,17213,3.723929588102016
SAL12644,Minchinbury,Philippines,641,5092,7911,8.102641891037795
SAL10350,Bilgola Plateau,England,635,3857,5207,12.195121951219512
SAL14195,Warwick Farm,India,632,3165,7274,8.688479516084685
SAL11241,Denistone East,China,627,1866,3239,19.357826489657302
SAL12162,Kingscliff,England,621,9907,11570,5.367329299913569
SAL10566,Brighton-Le-Sands,Greece,620,6387,10595,5.85181689476168
SAL13257,Port Kembla,North_Macedonia,612,5435,6928,8.833718244803695
SAL12905,Narara,England,611,9790,11959,5.109122836357555
SAL14243,Wentworth Falls,England,608,7055,8670,7.012687427912341
SAL12919,Narraweena,England,607,6845,9585,6.332811684924361
SAL13716,Sutherland (NSW),England,605,12236,15746,3.84224564968881
SAL11518,Figtree,England,604,14014,17341,3.483074793841186
SAL13009,North Narrabeen,England,598,6866,8496,7.0386064030131825
SAL13655,St Ives Chase,China,597,2544,4650,12.838709677419354
SAL11360,East Lindfield,China,596,3230,5237,11.380561390108841
SAL13019,North Strathfield,China,595,3160,6381,9.324557279423287
SAL12181,Kirrawee,England,593,12317,15388,3.8536521965167667
SAL11958,Hoxton Park,Iraq,593,3389,5926,10.006749915626054
SAL10257,Belfield,Lebanon,593,5662,8923,6.645746946094364
SAL11075,Corlette,England,592,6518,7980,7.4185463659147866
SAL11371,Eastlakes,Bangladesh,590,4095,8095,7.288449660284126
SAL10937,Clovelly,England,588,5032,6818,8.624229979466119
SAL13864,Thirroul,England,588,7622,9035,6.508024349750968
SAL12296,Lavington,India,587,15055,17417,3.3702704254464027
SAL10115,Avoca Beach,England,587,5396,6682,8.784794971565399
SAL10110,Austral,Iraq,584,5212,9334,6.256695950289265
SAL13278,Prospect (NSW),India,583,4204,7148,8.156127588136542
SAL11866,Harrington Park,England,581,15438,18940,3.0675818373812036
SAL13309,Queenscliff (NSW),England,576,3012,4611,12.491867273910215
SAL13202,Petersham,England,572,8198,10939,5.228997166102935
SAL11949,Horsley,England,570,11430,13530,4.212860310421286
SAL11436,Erina,England,570,5322,6876,8.289703315881326
SAL10002,Abbotsbury,Iraq,568,3838,5742,9.892023685127134
SAL13036,Norwest,India,568,3344,6330,8.973143759873619
SAL12063,Kanahooka,England,566,6518,7977,7.095399272909615
SAL10155,Balgowlah Heights,England,563,3588,5005,11.24875124875125
SAL11580,Gables,India,560,2932,4622,12.115967113803547
SAL13088,Old Guildford,Lebanon,557,2305,3724,14.95703544575725
SAL14217,Waverley (NSW),England,555,3596,5412,10.2549889135255
SAL11780,Gregory Hills,India,554,8987,12696,4.363579080025205
SAL14140,Wamberal,England,553,8466,9932,5.567861457913814
SAL12986,Normanhurst,China,552,5115,7705,7.164179104477612
SAL11944,Hornsby Heights,England,552,6474,8991,6.139472806139472
SAL11421,Emu Plains,England,551,9802,11469,4.804254948121022
SAL14210,Wattle Grove (NSW),India,550,9022,12562,4.378283712784588
SAL12723,Moorebank,Vietnam,547,10761,15681,3.488297940182386
SAL12998,North Curl Curl,England,544,4629,6050,8.991735537190081
SAL10309,Berowra Heights,England,544,6176,7617,7.1419193908362875
SAL13665,Stanmore (NSW),England,542,7770,10341,5.241272604196886
SAL11671,Glenhaven,England,537,7099,9438,5.689764780673872
SAL11873,Hassall Grove,Philippines,537,3836,5848,9.182626538987689
SAL13269,Pottsville,England,535,8654,10020,5.33932135728543
SAL12584,Merewether,England,526,14954,16839,3.123700932359404
SAL13562,Silverwater (Parramatta - NSW),Korea_South,525,3290,5408,9.70784023668639
SAL12908,Naremburn,England,522,5483,8222,6.348820238384821
SAL10308,Berowra,England,521,5141,6829,7.629228291111437
SAL11894,Heckenberg,Vietnam,520,2584,4217,12.331041024424946
SAL10373,Birchgrove,England,517,3281,4510,11.463414634146343
SAL10026,Albion Park Rail,England,517,8252,9530,5.424973767051417
SAL12534,Matraville,England,516,8889,13067,3.9488788551312464
SAL13023,North Turramurra,England,516,3947,5775,8.935064935064934
SAL10819,Carnes Hill,Iraq,513,2618,4557,11.257406188281765
SAL13487,Sanctuary Point,England,511,9344,10700,4.775700934579439
SAL13732,Sylvania,China,511,11430,14760,3.4620596205962055
SAL10406,Blaxland (NSW),England,509,9107,10565,4.81779460482726
SAL12157,Kings Langley,India,506,9796,13287,3.808233611801008
SAL19494,No usual address (NSW),England,503,9226,11702,4.298410528114852
SAL12312,Lennox Head,England,502,9090,10635,4.720263281617301
SAL13064,Oak Flats,England,500,7937,9367,5.337888331376107
SAL11833,Gymea,England,497,9331,11465,4.334932402965547
SAL11000,Concord West,China,493,5650,8412,5.860675225867808
SAL12761,Mount Colah,England,488,7782,11196,4.358699535548411
SAL11850,Hamlyn Terrace,England,487,9915,12036,4.046194749086076
SAL11549,Forest Lodge,China,485,4136,6758,7.176679490973662
SAL12270,Lalor Park,India,485,7467,10452,4.640260237275163
SAL11392,Elanora Heights,England,480,5269,6557,7.320420924203141
SAL10304,Berkeley Vale,England,480,11278,12613,3.805597399508444
SAL13547,Shell Cove,England,479,9153,10871,4.406218379173949
SAL12010,Jannali,England,478,7350,9181,5.2064045310968305
SAL12756,Mount Annan,England,477,13834,16739,2.8496325945396976
SAL13032,Northbridge (NSW),England,474,6514,9089,5.215095169985697
SAL14320,Willoughby (NSW),England,473,6577,9755,4.848795489492568
SAL11776,Greenwich,England,471,5088,7547,6.24089042003445
SAL12352,Lisarow,England,471,6384,7600,6.197368421052631
SAL11972,Hurstville Grove,China,471,2387,3733,12.617197964103937
SAL12932,Nelson Bay (NSW),England,470,6974,8496,5.532015065913371
SAL14021,Ulladulla,England,467,8601,9880,4.72672064777328
SAL10003,Abbotsford (NSW),Italy,467,5321,7393,6.316786149059922
SAL13000,North Epping,China,466,4345,6700,6.955223880597015
SAL10971,Collaroy Plateau,England,465,5372,6783,6.855373728438743
SAL14183,Warrawee,China,461,2769,4497,10.25127863019791
SAL14252,Werrington,India,460,4740,7041,6.533162902996733
SAL13462,Russell Lea,Italy,458,5115,6843,6.692970919187491
SAL11834,Gymea Bay,England,457,8778,10094,4.527442044779076
SAL12318,Leura,England,455,4735,6104,7.454128440366972
SAL13476,Sadleir,Vietnam,453,2638,4149,10.91829356471439
SAL11897,Helensburgh,England,448,8437,9492,4.71976401179941
SAL12138,Killarney Heights,England,448,4309,6423,6.974933831542892
SAL11398,Elizabeth Bay,England,448,4344,6473,6.9210566970492815
SAL12317,Leumeah,Philippines,447,9310,13544,3.3003544004725343
SAL10718,Busby,Vietnam,447,3605,5552,8.051152737752162
SAL11221,Davidson,England,446,2832,3899,11.438830469351116
SAL12025,Jerrabomberra,England,444,11564,13749,3.2293257691468473
SAL10098,Ashcroft,Vietnam,441,2760,4556,9.679543459174715
SAL10884,Charlestown (NSW),England,441,17082,19439,2.2686352178610014
SAL14352,Winmalee,England,433,8078,9228,4.692241005635024
SAL11283,Double Bay,England,433,4137,6090,7.110016420361248
SAL12082,Kariong,England,432,7724,9271,4.659691511163844
SAL11013,Connells Point,China,430,2873,4105,10.475030450669914
SAL11132,Crows Nest (NSW),England,426,4197,6734,6.326106326106326
SAL10774,Cameron Park,India,419,12373,14341,2.9216930479046095
SAL11116,Crestwood,India,419,4983,6871,6.098093436181051
SAL11082,Corrimal,England,418,8095,9790,4.269662921348314
SAL10334,Bexley North,China,417,3713,5853,7.124551512045104
SAL10659,Bulli,England,415,8469,9717,4.270865493465061
SAL11394,Elderslie (Camden - NSW),England,411,9701,11190,3.672922252010724
SAL11424,Enfield (NSW),China,411,2268,4090,10.048899755501223
SAL13595,South Coogee,England,409,5109,7208,5.674250832408435
SAL10452,Bomaderry,England,409,7997,9167,4.461655939784008
SAL11717,Goonellabah,England,408,16651,18343,2.2242817423540315
SAL11226,Dean Park,Philippines,407,2648,4123,9.871452825612419
SAL14267,West Pymble,England,407,5404,7745,5.255003227888961
SAL13702,Summer Hill (Inner West - NSW),England,407,6886,9936,4.0962157809983895
SAL13478,Salamander Bay,England,406,5774,6784,5.984669811320755
SAL13691,Strathfield South,China,405,2753,5017,8.072553318716365
