SA1_CODE_2021,SA2_CODE,SA3_CODE,total_commuters,total_car,total_public_transit,total_active_transport,car_dependency_ratio,public_transit_ratio,active_transport_ratio,total_population,sa2_employment,sa2_employment_density,sa3_employment,sa3_employment_density,car_dependency_score,commuter_volume_score,employment_proximity_score,transit_gap_score,tod_score,commute_pain_score
31103131218,311031312,31103,507,491,11,0,0.9684418145956607,0.021696252465483234,0.0,1477,3276,0.40142139443695624,40691,0.43463074918288436,96.84418145956607,99.82779251018692,17.596694909772978,94.74302564880625,81.67965188371772,6.033858758897504
51104128810,511041288,51104,559,533,4,8,0.9534883720930233,0.007155635062611807,0.014311270125223614,1504,5229,0.5060485822123294,24307,0.44209817937105544,95.34883720930233,99.88034409158529,47.57292542526357,94.66655572658817,87.08487876890806,6.033614142625511
31202135009,312021350,31202,548,523,6,9,0.9543795620437956,0.010948905109489052,0.016423357664233577,1180,3039,0.5115300454468945,58954,0.4844565333508641,95.43795620437956,99.87549317637928,65.5572893085829,94.39301507805423,90.68858980418761,6.020320227937015
31601141440,316011414,31601,611,573,17,11,0.9378068739770867,0.027823240589198037,0.01800327332242226,1298,8806,0.5031712473572939,28509,0.4835640138408305,93.78068739770868,99.9094495828213,62.055737015716964,91.17140476962186,89.01339771403543,6.017655643010741
31203135928,312031359,31203,721,658,25,18,0.912621359223301,0.03467406380027739,0.024965325936199722,1727,7967,0.5485781174688426,12067,0.5160807458728937,91.2621359223301,99.94017204579264,85.71809714766187,88.09770679880964,92.44029609208319,6.006896728698307
31202135003,312021350,31202,504,486,5,10,0.9642857142857143,0.00992063492063492,0.01984126984126984,1182,3039,0.5115300454468945,58954,0.4844565333508641,96.42857142857143,99.82375008084858,65.5572893085829,95.47193877551021,91.17720533495077,6.002252771086955
40303106715,403031067,40303,582,546,25,3,0.9381443298969072,0.0429553264604811,0.005154639175257732,1507,6653,0.513229962200108,33503,0.505400512897873,93.81443298969072,99.89570532307096,74.05164607722656,89.78460339391363,91.28327434763425,5.974278700596853
31202134231,312021342,31202,538,511,3,17,0.949814126394052,0.0055762081784386614,0.031598513011152414,1478,7544,0.47674418604651164,58954,0.4844565333508641,94.9814126394052,99.86902528943794,53.442937067460065,94.4517765094457,88.08703770703006,5.9740607002499955
30801119206,308011192,30801,684,625,47,8,0.9137426900584795,0.06871345029239766,0.011695906432748537,1584,7504,0.532614096103343,14388,0.49873479150057193,91.37426900584795,99.93208718711597,76.03284069594463,85.09562771451044,90.24546466911394,5.9662087337922385
31401138329,314011383,31401,743,670,45,5,0.901749663526245,0.06056527590847914,0.006729475100942127,1710,10841,0.5519014407167948,48196,0.5367874724344552,90.1749663526245,99.94825690446932,90.98336136084342,84.71349463543997,92.72248534810328,5.962405778382465
20505110309,205051103,20505,517,493,0,14,0.9535783365570599,0.0,0.027079303675048357,1217,6564,0.4289915691784851,19270,0.42328390993959364,95.35783365570599,99.84881314274627,20.03508828665675,95.35783365570599,81.64057842800823,5.959840995036605
21004124020,210041240,21004,514,488,19,4,0.9494163424124513,0.03696498054474708,0.007782101167315175,1461,7028,0.5140809011776754,23275,0.5164876619918338,94.94163424124513,99.84153676993726,77.91054912360133,91.43211857863102,92.6544364100626,5.928314100241057
31901149212,319011492,31901,517,489,15,10,0.9458413926499033,0.029013539651837523,0.019342359767891684,1216,2301,0.40660894150910054,37047,0.39496998837915925,94.58413926499033,99.84881314274627,11.554071534829571,91.83991858999062,79.28310581478499,5.911485287166126
21105127516,211051275,21105,518,489,20,3,0.944015444015444,0.03861003861003861,0.005791505791505791,1619,6134,0.5207572799049155,79479,0.5119222445509353,94.4015444015444,99.8528555720846,77.97644072181618,90.75669712735349,92.38743228934172,5.901893820208725
50102100510,501021005,50102,628,575,21,11,0.9156050955414012,0.03343949044585987,0.01751592356687898,1415,9128,0.47403406730369757,49442,0.4597160364113102,91.56050955414013,99.91753444149796,41.15071793545049,88.49877276968638,83.67948501816419,5.9002794149725375
31106133501,311061335,31106,792,699,61,22,0.8825757575757576,0.07702020202020202,0.027777777777777776,2091,3336,0.48993978557791157,32386,0.4096071636354438,88.25757575757575,99.96280965008731,34.16337882413816,81.45995944291398,80.27054490717552,5.89191973727621
31601141517,316011415,31601,584,540,11,24,0.9246575342465754,0.018835616438356163,0.0410958904109589,1507,6296,0.5268619246861924,28509,0.4835640138408305,92.46575342465754,99.89813078067395,69.03782096888946,90.72410395946707,89.8357151937898,5.891558899837676
12703152308,127031523,12703,768,678,68,7,0.8828125,0.08854166666666667,0.009114583333333334,3826,8931,0.429106808244847,53474,0.3926772312708367,88.28125,99.95634176314599,15.003072246297133,80.46468098958334,76.34648507716156,5.866369371516702
20302104326,203021043,20302,543,503,31,0,0.9263351749539595,0.0570902394106814,0.0,1275,9939,0.477446317913244,102683,0.484385761323861,92.63351749539595,99.87306771877627,53.3721945540392,87.34504780413025,86.42427100501212,5.83493825261241
20904143319,209041433,20904,722,639,66,10,0.8850415512465374,0.09141274238227147,0.013850415512465374,2042,5667,0.4666886271926213,118152,0.4688087736979518,88.50415512465374,99.94178901752797,44.21730483151154,80.41374759248318,82.2690344806705,5.826590710470153
50102100533,501021005,50102,595,542,19,19,0.9109243697478991,0.031932773109243695,0.031932773109243695,1408,9128,0.47403406730369757,49442,0.4597160364113102,91.09243697478992,99.90702412521829,41.15071793545049,88.18360285290586,83.45758589986214,5.8210259521838985
