SA1_CODE_2021,India_population,total_population,concentration_ratio,is_cluster
21005154209,575,1085,0.5299539170506913,True
21304157210,574,1077,0.5329619312906221,True
21304157815,574,1276,0.4498432601880878,True
21305146608,573,1559,0.36754329698524696,True
21204146027,573,1521,0.3767258382642998,True
21305158303,571,693,0.823953823953824,True
11601162630,571,987,0.5785207700101317,True
11601162718,571,1286,0.4440124416796267,True
20904143715,570,1153,0.4943625325238508,True
21304135924,569,940,0.6053191489361702,True
21304135951,568,916,0.6200873362445415,True
21305158322,568,950,0.5978947368421053,True
21203130465,567,1086,0.5220994475138122,True
11601130652,566,1831,0.3091206990715456,True
40203103821,565,1419,0.3981677237491191,True
11601130335,565,1178,0.4796264855687606,True
21203155902,564,1474,0.38263229308005425,True
40203103816,563,1153,0.48829141370338247,True
11601162706,563,706,0.7974504249291785,True
21205156721,562,1189,0.4726661059714045,True
20904143307,562,1601,0.3510306058713304,True
70102102116,562,1563,0.35956493921944976,True
21305157913,561,1303,0.43054489639293936,True
21305136302,560,1319,0.4245640636846095,True
21305158223,559,1269,0.4405043341213554,True
11602162916,558,851,0.6556991774383079,True
31004130455,556,1524,0.3648293963254593,True
12504158826,556,780,0.7128205128205128,True
21304157118,555,1857,0.2988691437802908,True
21203155822,554,1037,0.5342333654773385,True
30306107816,553,849,0.6513545347467609,True
12003139616,551,1080,0.5101851851851852,True
20904153212,551,1424,0.386938202247191,True
21205156822,550,1150,0.4782608695652174,True
10402109127,550,1054,0.5218216318785579,True
11601156026,550,1243,0.4424778761061947,True
12504171716,549,1461,0.3757700205338809,True
21305158201,549,707,0.7765205091937766,True
20904143739,549,1493,0.36771600803750837,True
80101100216,549,2933,0.1871803614047051,True
21305158811,547,1126,0.4857904085257549,True
11301125604,546,896,0.609375,True
11602156310,546,1281,0.4262295081967213,True
21305157922,546,690,0.7913043478260869,True
50403105756,546,1227,0.4449877750611247,True
21305158321,545,980,0.5561224489795918,True
12504148913,545,1178,0.4626485568760611,True
21203155733,544,1419,0.383368569415081,True
20604150916,543,1751,0.31010850942318674,True
11602162829,543,1435,0.378397212543554,True
11602162906,542,944,0.5741525423728814,True
21305158709,542,897,0.6042363433667781,True
11602163215,541,1107,0.48870822041553746,True
20604111836,540,1422,0.379746835443038,True
21305157918,540,1118,0.48300536672629696,True
21305159002,540,1109,0.48692515779981965,True
21305158338,540,972,0.5555555555555556,True
21305158817,539,1559,0.345734445157152,True
21305158113,539,1284,0.4197819314641745,True
50603112708,538,1685,0.31928783382789316,True
11602162922,538,1180,0.4559322033898305,True
50604113305,536,1560,0.3435897435897436,True
50601130719,536,1228,0.4364820846905538,True
21204145906,535,1462,0.36593707250341995,True
