SA1_CODE_2021,New_Zealand_population,total_population,concentration_ratio,is_cluster,Median_rent_weekly,Median_mortgage_repay_monthly,Median_tot_hhd_inc_weekly,Average_household_size,rent_to_income_ratio,mortgage_to_income_ratio,rent_affordability,mortgage_affordability
31103131103,268,1790,0.14972067039106146,True,350,1517,1417,2.8,0.24700070571630206,0.24705499158569025,Affordable,Affordable
31103131723,267,1215,0.21975308641975308,True,360,1371,1463,3.1,0.24606971975393027,0.21625742678374257,Affordable,Affordable
31103131738,267,1043,0.25599232981783315,True,350,1250,1487,3.6,0.23537323470073973,0.1939889296984119,Affordable,Affordable
30906124939,266,1140,0.23333333333333334,True,420,1733,1669,2.8,0.2516476932294787,0.23961838042125638,Affordable,Affordable
30907155417,265,704,0.37642045454545453,True,425,0,1625,3.1,0.26153846153846155,0.0,Affordable,Affordable
30903123604,265,1118,0.2370304114490161,True,388,1257,990,1.5,0.39191919191919194,0.293006993006993,Moderately_Affordable,Affordable
31103131137,265,900,0.29444444444444445,True,390,1733,1817,3.1,0.21463951568519538,0.22010075780026248,Affordable,Affordable
21301156924,265,2122,0.12488218661639962,True,381,1805,1968,3.4,0.19359756097560976,0.21165572232645402,Affordable,Affordable
30905124513,264,2323,0.113646147223418,True,658,2600,3169,3.6,0.20763647838434837,0.18933417481855475,Affordable,Affordable
30906124931,264,1219,0.2165709598031173,True,500,1997,2202,3.1,0.22706630336058128,0.20928526514357576,Affordable,Affordable
30907155420,264,1431,0.18448637316561844,True,210,893,1081,1.8,0.1942645698427382,0.19063545150501673,Affordable,Affordable
31105132604,264,1401,0.18843683083511778,True,360,1517,1575,2.8,0.22857142857142856,0.22227106227106228,Affordable,Affordable
31105132623,263,854,0.3079625292740047,True,400,1603,1836,3.4,0.2178649237472767,0.2014831573655103,Affordable,Affordable
50601111724,263,1588,0.16561712846347607,True,325,1950,2243,3.4,0.14489522960321,0.20062416406598305,Affordable,Affordable
30907155308,262,1860,0.14086021505376345,True,460,2167,2690,3.4,0.17100371747211895,0.185902201887332,Affordable,Affordable
31403139408,262,1453,0.18031658637302134,True,355,1170,1403,2.5,0.25302922309337134,0.1924447612259444,Affordable,Affordable
31102130817,261,948,0.27531645569620256,True,360,1742,1837,2.8,0.195971692977681,0.21883505715841045,Affordable,Affordable
31106133402,260,1173,0.2216538789428815,True,445,1738,2024,2.9,0.2198616600790514,0.19816053511705686,Affordable,Affordable
50403130049,260,1765,0.14730878186968838,True,350,1900,1918,3.0,0.18248175182481752,0.22860351327504613,Affordable,Affordable
31004156605,259,1155,0.22424242424242424,True,350,1804,1537,2.8,0.2277163305139883,0.2708573144487263,Affordable,Affordable
31105132815,259,1184,0.21875,True,270,1094,827,2.1,0.3264812575574365,0.30527392800669706,Moderately_Affordable,Moderately_Affordable
31103131314,259,1095,0.2365296803652968,True,400,1600,1600,3.6,0.25,0.23076923076923078,Affordable,Affordable
30907125326,258,1593,0.16195856873822975,True,470,1997,1354,2.0,0.34711964549483015,0.34035905010794226,Moderately_Affordable,Moderately_Affordable
31106132906,258,2200,0.11727272727272728,True,450,2191,2617,3.2,0.17195261750095528,0.19320419740748362,Affordable,Affordable
30908126001,258,1734,0.14878892733564014,True,500,1759,1823,2.8,0.27427317608337903,0.22266762310646018,Affordable,Affordable
31301136234,257,2259,0.11376715360779106,True,353,1733,1004,2.1,0.351593625498008,0.39832975789151087,Moderately_Affordable,Moderately_Affordable
30907155505,256,1092,0.23443223443223443,True,413,1667,1618,3.1,0.2552533992583436,0.23775791575544356,Affordable,Affordable
30907155625,256,1253,0.20430965682362331,True,473,1884,2014,3.2,0.23485600794438927,0.21587350087846613,Affordable,Affordable
30905124414,256,1144,0.22377622377622378,True,565,2100,2263,3.1,0.2496685815289439,0.2141473197593392,Affordable,Affordable
30907125120,256,1427,0.17939733707077785,True,425,1658,1648,3.2,0.25788834951456313,0.23216952949962658,Affordable,Affordable
21305146430,255,1423,0.1791988756148981,True,386,2069,2192,3.5,0.1760948905109489,0.21782004491858506,Affordable,Affordable
31103131135,255,1453,0.17549896765313144,True,350,1787,1654,2.8,0.21160822249093109,0.24932564412612782,Affordable,Affordable
30906124938,254,1287,0.19735819735819735,True,480,2000,2184,3.2,0.21978021978021978,0.21132713440405748,Affordable,Affordable
30907125623,253,1021,0.24779627815866798,True,468,1950,1987,3.1,0.23553095118268746,0.2264720684448918,Affordable,Affordable
30907155746,253,973,0.26002055498458376,True,465,1827,2189,3.2,0.21242576518958428,0.1926063885862881,Affordable,Affordable
50705119218,252,1921,0.13118167621030713,True,360,1801,2265,2.8,0.15894039735099338,0.18349465104431992,Affordable,Affordable
31103131735,252,1148,0.21951219512195122,True,350,1450,1358,3.1,0.25773195876288657,0.24640308145462786,Affordable,Affordable
30103101603,252,2097,0.12017167381974249,True,405,1733,1699,2.6,0.23837551500882873,0.23538733191470096,Affordable,Affordable
50705131327,251,1151,0.21807124239791487,True,395,1800,2138,3.1,0.18475210477081386,0.19428653666258905,Affordable,Affordable
30907125132,251,1245,0.20160642570281123,True,473,2000,1875,3.2,0.25226666666666664,0.24615384615384617,Affordable,Affordable
30909126514,251,1192,0.2105704697986577,True,500,1690,1896,3.0,0.26371308016877637,0.20569620253164558,Affordable,Affordable
31602158009,251,1723,0.1456761462565293,True,490,1991,2042,3.1,0.23996082272282077,0.22500565056882393,Affordable,Affordable
30907155512,251,1036,0.24227799227799227,True,450,2000,1687,3.5,0.26674570243034973,0.27358533582599975,Affordable,Affordable
31103131737,250,1022,0.2446183953033268,True,325,1487,1312,3.3,0.24771341463414634,0.2615501876172608,Affordable,Affordable
30906124808,250,1195,0.20920502092050208,True,418,1733,1631,2.6,0.2562844880441447,0.2452011507805499,Affordable,Affordable
31004129930,249,1013,0.2458045409674235,True,330,1983,1611,2.8,0.2048417132216015,0.28405672539750754,Affordable,Affordable
31103131745,249,1155,0.21558441558441557,True,330,1179,1290,3.0,0.2558139534883721,0.21091234347048302,Affordable,Affordable
30903123802,249,1158,0.21502590673575128,True,400,1285,1307,2.5,0.306044376434583,0.2268848213760226,Moderately_Affordable,Affordable
30908156001,248,1385,0.17906137184115523,True,470,1582,1180,1.8,0.3983050847457627,0.30938722294654497,Moderately_Affordable,Moderately_Affordable
30907125141,248,1228,0.20195439739413681,True,470,2037,2045,3.3,0.22982885085574573,0.2298664660522851,Affordable,Affordable
30907155506,248,869,0.285385500575374,True,438,1975,1697,3.1,0.2581025338833235,0.2685735007479262,Affordable,Affordable
31402157925,248,1330,0.18646616541353384,True,365,1100,1320,2.6,0.2765151515151515,0.19230769230769232,Affordable,Affordable
30905124510,248,2177,0.11391823610473129,True,450,2232,2301,3.1,0.19556714471968709,0.22384916257145723,Affordable,Affordable
31004156613,247,1238,0.19951534733441034,True,410,1939,2235,3.4,0.18344519015659955,0.2002065049044915,Affordable,Affordable
31105132308,247,1201,0.20566194837635304,True,418,1720,2133,3.3,0.19596812001875294,0.18608676836524937,Affordable,Affordable
30906124916,246,1266,0.1943127962085308,True,500,2167,2014,3.1,0.24826216484607747,0.24830035902528455,Affordable,Affordable
31102130713,246,1064,0.231203007518797,True,340,1289,1148,2.4,0.2961672473867596,0.2591128383811311,Affordable,Affordable
30908126216,245,1314,0.18645357686453576,True,550,1955,1845,2.8,0.2981029810298103,0.24452782989368355,Affordable,Affordable
51103127928,245,1224,0.20016339869281047,True,270,1300,1985,2.6,0.13602015113350127,0.15113350125944586,Affordable,Affordable
30909126503,244,1359,0.17954378219278883,True,625,1972,2259,3.0,0.27667109340416113,0.20145060782510982,Affordable,Affordable
30907155626,243,1145,0.21222707423580786,True,460,1777,1340,2.5,0.34328358208955223,0.30602755453501723,Moderately_Affordable,Moderately_Affordable
50705131224,243,1462,0.1662106703146375,True,380,1820,2264,3.2,0.16784452296819788,0.1855123674911661,Affordable,Affordable
30906124835,242,1196,0.20234113712374582,True,375,1517,1190,2.0,0.31512605042016806,0.29418228829993537,Moderately_Affordable,Affordable
31004130203,242,1291,0.18745158791634392,True,350,1408,1568,3.5,0.22321428571428573,0.20722135007849293,Affordable,Affordable
31004130017,242,941,0.25717321997874604,True,360,1300,1724,3.9,0.2088167053364269,0.1740139211136891,Affordable,Affordable
