SA1_CODE_2021,Philippines_population,total_population,concentration_ratio,is_cluster,Median_rent_weekly,Median_mortgage_repay_monthly,Median_tot_hhd_inc_weekly,Average_household_size,rent_to_income_ratio,mortgage_to_income_ratio,rent_affordability,mortgage_affordability
12102140351,112,714,0.1568627450980392,True,485,2340,2314,2.6,0.20959377700950735,0.23336214347450301,Affordable,Affordable
11601130434,112,844,0.13270142180094788,True,450,2383,2276,3.1,0.1977152899824253,0.24161822360416385,Affordable,Affordable
11903137016,112,917,0.12213740458015267,True,210,1800,817,2.1,0.25703794369645044,0.5084267018171547,Affordable,Very_Expensive
70104103605,112,835,0.1341317365269461,True,428,2084,2284,2.9,0.18739054290718038,0.21056176747945574,Affordable,Affordable
12701172702,112,1026,0.10916179337231968,True,510,2500,2432,2.8,0.20970394736842105,0.23722165991902833,Affordable,Affordable
21305136205,112,886,0.12641083521444696,True,331,1444,1196,2.3,0.27675585284280935,0.2786210445073321,Affordable,Affordable
11601162632,112,475,0.23578947368421052,True,293,2173,1437,2.1,0.20389700765483645,0.34896418821262243,Affordable,Moderately_Affordable
50601111726,112,1012,0.11067193675889328,True,375,1565,1906,3.5,0.1967471143756558,0.18948260553717006,Affordable,Affordable
50604113258,112,771,0.14526588845654995,True,350,1509,1682,2.6,0.2080856123662307,0.2070337510289948,Affordable,Affordable
31202134601,112,709,0.15796897038081806,True,300,1181,1406,2.2,0.21337126600284495,0.1938395885764307,Affordable,Affordable
70102102212,112,729,0.15363511659807957,True,328,1950,1398,2.5,0.23462088698140202,0.3218884120171674,Affordable,Moderately_Affordable
50603112731,112,948,0.11814345991561181,True,370,1517,1512,2.8,0.2447089947089947,0.23153235653235654,Affordable,Affordable
12302170326,112,1104,0.10144927536231885,True,570,2841,2608,3.3,0.21855828220858894,0.251386267107126,Affordable,Affordable
21301132914,112,1110,0.1009009009009009,True,455,2000,2187,3.5,0.20804755372656608,0.21103724807428512,Affordable,Affordable
21401137059,112,910,0.12307692307692308,True,411,1800,1739,2.3,0.23634272570442783,0.2388640686513027,Affordable,Affordable
11603131529,111,952,0.11659663865546219,True,390,1900,2028,3.3,0.19230769230769232,0.2162039144287665,Affordable,Affordable
11601156006,111,966,0.11490683229813664,True,420,2167,1894,3.1,0.22175290390707497,0.26403216635529203,Affordable,Affordable
21305136110,111,885,0.12542372881355932,True,327,1514,1456,2.7,0.2245879120879121,0.23996196111580728,Affordable,Affordable
70102101605,111,864,0.1284722222222222,True,300,1500,1812,2.2,0.16556291390728478,0.19103413143148243,Affordable,Affordable
11602156332,111,630,0.1761904761904762,True,538,2200,2600,3.3,0.20692307692307693,0.1952662721893491,Affordable,Affordable
12703173333,111,976,0.11372950819672131,True,478,2167,2203,3.3,0.21697684975034046,0.22699814937672405,Affordable,Affordable
20505110128,111,597,0.18592964824120603,True,230,1517,1854,2.9,0.12405609492988134,0.18882250435648493,Affordable,Affordable
11602162806,111,963,0.11526479750778816,True,650,2784,3476,3.8,0.18699654775604144,0.18482783039745065,Affordable,Affordable
11402128717,111,835,0.13293413173652693,True,380,1733,1047,1.9,0.3629417382999045,0.3819704650650209,Moderately_Affordable,Moderately_Affordable
11602162825,111,506,0.21936758893280633,True,438,1842,1841,2.3,0.23791417707767518,0.23089458070446664,Affordable,Affordable
50701116137,111,800,0.13875,True,420,2137,2536,2.8,0.16561514195583596,0.19446129580198981,Affordable,Affordable
70102102801,111,916,0.12117903930131005,True,370,1500,2030,3.0,0.18226600985221675,0.17051913603637742,Affordable,Affordable
21301133115,111,511,0.2172211350293542,True,360,1517,1678,3.0,0.21454112038140644,0.2086274869349959,Affordable,Affordable
11602156203,111,839,0.13230035756853398,True,598,2600,3222,3.6,0.1855990068280571,0.186219739292365,Affordable,Affordable
12302143648,110,1100,0.1,True,505,2600,2545,3.8,0.19842829076620824,0.2357563850687623,Affordable,Affordable
30102101239,110,875,0.12571428571428572,True,503,2167,2611,2.9,0.19264649559555727,0.1915269716878296,Affordable,Affordable
50603112751,110,742,0.14824797843665768,True,340,1383,1317,1.9,0.25816249050873197,0.24233397581916943,Affordable,Affordable
40702115418,110,1030,0.10679611650485436,True,250,1105,1391,2.5,0.17972681524083392,0.1833213515456506,Affordable,Affordable
50403129819,110,849,0.12956419316843346,True,395,1947,2259,3.3,0.17485613103142983,0.19889672080907142,Affordable,Affordable
