SA1_CODE_2021,Iraq_population,total_population,concentration_ratio,is_cluster,Median_rent_weekly,Median_mortgage_repay_monthly,Median_tot_hhd_inc_weekly,Average_household_size,rent_to_income_ratio,mortgage_to_income_ratio,rent_affordability,mortgage_affordability
12703173230,309,613,0.5040783034257749,True,490,1903,1562,3.2,0.31370038412291934,0.281148429035753,Moderately_Affordable,Affordable
12702151045,306,1136,0.26936619718309857,True,670,2113,3233,3.9,0.20723785957315188,0.1508244307501963,Affordable,Affordable
21005154202,306,1076,0.2843866171003718,True,430,2000,1947,3.1,0.22085259373394966,0.23705108450871162,Affordable,Affordable
21005154305,304,1151,0.26411815812337097,True,450,2200,2106,3.7,0.21367521367521367,0.24106947183870261,Affordable,Affordable
12702151934,301,974,0.30903490759753593,True,400,2167,1553,3.4,0.25756600128783,0.3220070335331121,Affordable,Moderately_Affordable
12503148020,301,1405,0.21423487544483985,True,395,2000,1309,3.3,0.3017570664629488,0.35258858788270553,Moderately_Affordable,Moderately_Affordable
12702151505,300,548,0.5474452554744526,True,350,1389,828,2.2,0.4227053140096618,0.387123745819398,Expensive,Moderately_Affordable
21005144346,297,817,0.3635250917992656,True,430,2301,2115,3.9,0.2033096926713948,0.251063829787234,Affordable,Affordable
12703173212,297,1109,0.2678088367899008,True,450,1872,1337,3.3,0.3365744203440538,0.3231114435302917,Moderately_Affordable,Moderately_Affordable
21005124306,297,898,0.3307349665924276,True,369,1733,1208,3.2,0.3054635761589404,0.33106214977075904,Moderately_Affordable,Moderately_Affordable
21005154220,296,1257,0.2354813046937152,True,381,1733,1805,3.5,0.2110803324099723,0.2215640315363307,Affordable,Affordable
21005124343,295,857,0.3442240373395566,True,361,1500,1071,3.2,0.3370681605975724,0.32320620555914675,Moderately_Affordable,Moderately_Affordable
21005154209,295,1085,0.271889400921659,True,431,2100,2065,3.7,0.20871670702179176,0.23468057366362452,Affordable,Affordable
21005144333,295,1134,0.2601410934744268,True,369,1800,1473,3.2,0.2505091649694501,0.28199906000313335,Affordable,Affordable
12702151420,294,805,0.3652173913043478,True,500,2148,2017,3.5,0.2478929102627665,0.24575721749742574,Affordable,Affordable
12702151010,294,542,0.5424354243542435,True,570,2084,1555,3.3,0.3665594855305466,0.3092752906257729,Moderately_Affordable,Moderately_Affordable
12702151930,294,1128,0.26063829787234044,True,255,2090,1279,3.0,0.19937451133698203,0.3770974920310339,Affordable,Moderately_Affordable
12702151921,293,830,0.3530120481927711,True,480,1574,1625,3.1,0.2953846153846154,0.2235266272189349,Affordable,Affordable
12702151929,292,969,0.3013415892672859,True,420,2234,1302,3.2,0.3225806451612903,0.39595887982984757,Moderately_Affordable,Moderately_Affordable
12701159742,291,956,0.3043933054393305,True,545,2418,2550,3.7,0.21372549019607842,0.2188235294117647,Affordable,Affordable
12702151022,291,661,0.4402420574886536,True,505,2600,1895,3.3,0.26649076517150394,0.316622691292876,Affordable,Moderately_Affordable
