SA1_CODE_2021,Lebanon_population,total_population,concentration_ratio,is_cluster,Median_rent_weekly,Median_mortgage_repay_monthly,Median_tot_hhd_inc_weekly,Average_household_size,rent_to_income_ratio,mortgage_to_income_ratio,rent_affordability,mortgage_affordability
12503148109,245,906,0.2704194260485651,True,242,2500,860,3.1,0.2813953488372093,0.6708407871198568,Affordable,Very_Expensive
11901136104,245,1392,0.17600574712643677,True,550,2800,1461,3.4,0.37645448323066394,0.4422682040751856,Moderately_Affordable,Expensive
11901165530,244,768,0.3177083333333333,True,193,2500,697,2.6,0.2769010043041607,0.8277232093587904,Affordable,Very_Expensive
11901135445,244,1109,0.2200180342651037,True,124,2167,470,2.1,0.26382978723404255,1.0639934533551554,Affordable,Very_Expensive
11901135626,243,1141,0.21297107800175286,True,450,2234,1611,3.2,0.27932960893854747,0.32001145967626415,Affordable,Moderately_Affordable
11901165509,243,1121,0.2167707404103479,True,200,2211,1107,2.6,0.18066847335140018,0.46091307066916826,Affordable,Expensive
11901165512,241,1144,0.21066433566433568,True,400,2200,1511,3.4,0.26472534745201853,0.33599755638140816,Affordable,Moderately_Affordable
12501158222,238,1195,0.199163179916318,True,445,2600,1604,3.7,0.27743142144638405,0.3740648379052369,Affordable,Moderately_Affordable
12503171403,238,1056,0.22537878787878787,True,189,2167,982,2.7,0.1924643584521385,0.509243302522325,Affordable,Very_Expensive
12503148310,237,982,0.24134419551934827,True,185,2100,738,2.8,0.2506775067750677,0.6566604127579737,Affordable,Very_Expensive
11904166805,237,733,0.32332878581173263,True,400,2167,1949,3.1,0.20523345305284763,0.25658128428780047,Affordable,Affordable
11901136106,237,997,0.23771313941825475,True,235,2427,1125,3.2,0.2088888888888889,0.4978461538461538,Affordable,Expensive
12503148410,237,1106,0.21428571428571427,True,495,2167,1550,3.2,0.3193548387096774,0.3226302729528536,Moderately_Affordable,Moderately_Affordable
12503148336,236,857,0.27537922987164526,True,303,2292,1383,3.2,0.21908893709327548,0.3824461872184215,Affordable,Moderately_Affordable
12703159918,236,1582,0.14917825537294563,True,430,2167,1358,3.5,0.3166421207658321,0.36824515690495074,Moderately_Affordable,Moderately_Affordable
12503148107,236,654,0.36085626911314983,True,490,3000,1471,3.5,0.33310673011556763,0.47063745228259163,Moderately_Affordable,Expensive
12503171444,235,1114,0.21095152603231598,True,450,2817,1562,3.2,0.2880921895006402,0.41618240914015564,Affordable,Expensive
11901165614,233,798,0.29197994987468673,True,525,2383,1485,3.5,0.35353535353535354,0.3703185703185703,Moderately_Affordable,Moderately_Affordable
12503148338,233,809,0.2880098887515451,True,173,2040,977,3.0,0.17707267144319344,0.4818518226911267,Affordable,Expensive
11901135613,233,1405,0.16583629893238433,True,503,2461,1701,3.2,0.29570840681951793,0.3338760005426672,Affordable,Moderately_Affordable
11901165518,233,785,0.2968152866242038,True,462,2398,1451,3.7,0.31840110268780153,0.38138154058209195,Moderately_Affordable,Moderately_Affordable
12503148341,232,807,0.2874845105328377,True,275,2167,1305,3.6,0.210727969348659,0.38320070733863837,Affordable,Moderately_Affordable
11901136103,232,623,0.3723916532905297,True,490,2084,1696,3.5,0.28891509433962265,0.2835631349782293,Affordable,Affordable
12503148413,232,1750,0.13257142857142856,True,600,2500,1726,3.6,0.34762456546929316,0.3342543898743203,Moderately_Affordable,Moderately_Affordable
12503148432,231,1064,0.21710526315789475,True,320,2269,1286,3.3,0.24883359253499224,0.40716592893886827,Affordable,Expensive
12701150438,229,1622,0.14118372379778052,True,350,2167,1255,3.5,0.2788844621513944,0.39846766779037696,Affordable,Moderately_Affordable
11901135403,228,1154,0.1975736568457539,True,585,2500,1839,3.2,0.3181076672104405,0.313715648136529,Moderately_Affordable,Moderately_Affordable
11904166901,227,1227,0.1850040749796251,True,560,2875,2095,3.3,0.26730310262529833,0.31668808518450525,Affordable,Moderately_Affordable
12503147907,227,1436,0.15807799442896936,True,380,2000,1440,3.0,0.2638888888888889,0.32051282051282054,Affordable,Moderately_Affordable
12503171613,227,1195,0.1899581589958159,True,259,2236,1228,2.9,0.21091205211726385,0.4201954397394137,Affordable,Expensive
11901136140,226,1066,0.21200750469043153,True,456,2167,1660,3.1,0.2746987951807229,0.30125115848007417,Affordable,Moderately_Affordable
11901135624,226,1086,0.20810313075506445,True,461,2232,1697,3.8,0.27165586328815555,0.3035220524908209,Affordable,Moderately_Affordable
12503148430,226,1265,0.17865612648221343,True,450,2253,1460,3.3,0.3082191780821918,0.35611169652265545,Moderately_Affordable,Moderately_Affordable
11902136624,226,1169,0.19332763045337895,True,374,2000,1346,3.3,0.27786032689450224,0.3428963310092582,Affordable,Moderately_Affordable
12501158408,226,1206,0.18739635157545606,True,400,2167,1487,3.8,0.26899798251513113,0.3362992085251668,Affordable,Moderately_Affordable
11902136707,225,1048,0.21469465648854963,True,471,2200,1788,3.2,0.2634228187919463,0.2839442436757873,Affordable,Affordable
12503148106,225,1189,0.18923465096719932,True,450,2167,1568,3.7,0.2869897959183674,0.31892660910518056,Affordable,Moderately_Affordable
11901135439,224,1077,0.20798514391829154,True,550,2383,1458,3.4,0.3772290809327846,0.3771763216207661,Moderately_Affordable,Moderately_Affordable
11904166808,224,925,0.24216216216216216,True,520,3031,1786,3.2,0.2911534154535274,0.39163579981049185,Affordable,Moderately_Affordable
12503147913,224,1637,0.13683567501527183,True,485,2167,1762,3.5,0.27525539160045404,0.28381210163276,Affordable,Affordable
11901157227,224,929,0.2411194833153929,True,450,1800,1666,3.5,0.27010804321728693,0.24933050143134178,Affordable,Affordable
11902136648,223,545,0.4091743119266055,True,525,2050,1604,3.6,0.3273067331670823,0.2949357375791291,Moderately_Affordable,Affordable
11902136616,223,879,0.25369738339021614,True,380,1550,1172,2.8,0.3242320819112628,0.30519821475452874,Moderately_Affordable,Moderately_Affordable
11901135618,223,1063,0.20978363123236124,True,475,2167,1634,3.4,0.29069767441860467,0.3060446285660484,Affordable,Moderately_Affordable
11901165522,221,1009,0.21902874132804756,True,500,2700,1458,3.4,0.3429355281207133,0.42735042735042733,Moderately_Affordable,Expensive
11902136626,219,1066,0.20544090056285177,True,480,2420,1653,3.8,0.29038112522686027,0.3378472706966355,Affordable,Moderately_Affordable
11902166113,218,1254,0.17384370015948963,True,525,2600,1937,2.9,0.2710376871450697,0.3097573567372225,Affordable,Moderately_Affordable
11901165605,217,882,0.24603174603174602,True,300,2540,1091,3.4,0.27497708524289644,0.5372629203976592,Affordable,Very_Expensive
12503147919,217,1130,0.1920353982300885,True,385,2275,1289,3.3,0.2986811481768813,0.4072924747866563,Affordable,Expensive
11901135608,217,1226,0.1769983686786297,True,500,2150,1384,3.4,0.36127167630057805,0.3584926634059582,Moderately_Affordable,Moderately_Affordable
11901135610,217,1390,0.15611510791366906,True,480,2211,1399,3.3,0.3431022158684775,0.3647110573486556,Moderately_Affordable,Moderately_Affordable
11901165621,217,1087,0.19963201471941122,True,380,2123,1381,3.1,0.27516292541636495,0.35475965019773853,Affordable,Moderately_Affordable
12503148437,216,1628,0.13267813267813267,True,490,2297,1875,3.5,0.2613333333333333,0.2827076923076923,Affordable,Affordable
11901165627,215,529,0.4064272211720227,True,228,1767,949,3.0,0.24025289778714437,0.42968306719623894,Affordable,Expensive
12503148111,214,999,0.21421421421421422,True,460,2392,1666,3.6,0.27611044417767105,0.33133253301320525,Affordable,Moderately_Affordable
12503171434,214,1021,0.20959843290891284,True,450,2167,1542,3.5,0.2918287937743191,0.324304100568692,Affordable,Moderately_Affordable
