SA1_CODE_2021,Nepal_population,total_population,concentration_ratio,is_cluster,Median_rent_weekly,Median_mortgage_repay_monthly,Median_tot_hhd_inc_weekly,Average_household_size,rent_to_income_ratio,mortgage_to_income_ratio,rent_affordability,mortgage_affordability
11903137334,121,887,0.13641488162344984,True,460,1920,1918,2.3,0.23983315954118875,0.2310098660463624,Affordable,Affordable
12003139642,120,657,0.182648401826484,True,460,2167,2147,2.7,0.21425244527247322,0.23291892085557667,Affordable,Affordable
21005124214,120,706,0.16997167138810199,True,335,1500,1341,2.7,0.24981357196122297,0.2581311306143521,Affordable,Affordable
12503171449,120,805,0.14906832298136646,True,400,1950,1429,2.4,0.27991602519244224,0.31490552834149754,Affordable,Moderately_Affordable
40302105812,120,938,0.1279317697228145,True,400,1733,1738,2.6,0.23014959723820483,0.23010533770027441,Affordable,Affordable
60103101724,120,786,0.15267175572519084,True,360,1281,1318,2.3,0.2731411229135053,0.22429088362320532,Affordable,Affordable
70102101608,120,876,0.136986301369863,True,350,1600,1921,2.2,0.18219677251431546,0.1922075841909262,Affordable,Affordable
11902165903,119,1021,0.11655239960822723,True,380,2383,1468,2.7,0.25885558583106266,0.374607000628799,Affordable,Moderately_Affordable
40302106115,119,579,0.20552677029360966,True,273,1460,1087,2.1,0.2511499540018399,0.3099568324959309,Affordable,Moderately_Affordable
12003139614,118,1120,0.10535714285714286,True,400,2184,1769,2.3,0.22611644997173544,0.2849067269643867,Affordable,Affordable
30503113107,118,824,0.14320388349514562,True,360,2300,2011,2.2,0.1790154152163103,0.26393298397276516,Affordable,Affordable
11902165905,118,949,0.12434141201264488,True,380,2000,1411,2.7,0.2693125442948264,0.32710025622853406,Affordable,Moderately_Affordable
21005154215,117,1044,0.11206896551724138,True,401,1980,1944,3.4,0.20627572016460904,0.23504273504273504,Affordable,Affordable
20601149513,117,636,0.18396226415094338,True,412,2300,2132,2.1,0.19324577861163228,0.24895367296868234,Affordable,Affordable
12504149113,117,614,0.19055374592833876,True,378,1690,1837,2.4,0.20577027762656505,0.21230266739248776,Affordable,Affordable
21205156812,116,923,0.1256771397616468,True,366,1652,2066,2.6,0.1771539206195547,0.18452602576513516,Affordable,Affordable
60103101729,116,917,0.12649945474372956,True,270,1096,1090,2.3,0.24770642201834864,0.23203952011291462,Affordable,Affordable
11904167110,116,557,0.20825852782764812,True,500,1733,2154,2.1,0.23212627669452182,0.18566530962074138,Affordable,Affordable
60103101718,116,722,0.16066481994459833,True,300,1058,1166,2.9,0.25728987993138935,0.20939437920569995,Affordable,Affordable
12504171709,116,1097,0.105742935278031,True,400,2015,2160,2.3,0.18518518518518517,0.2152777777777778,Affordable,Affordable
11904138150,116,487,0.23819301848049282,True,375,1767,1916,2.8,0.19572025052192066,0.21282318933675928,Affordable,Affordable
80101100218,116,1077,0.10770659238625813,True,406,1343,1878,1.7,0.2161874334398296,0.16502826247235192,Affordable,Affordable
12501158226,116,913,0.12705366922234393,True,400,1733,1361,3.2,0.29390154298310067,0.2938450234556039,Affordable,Affordable
12101139903,116,1082,0.10720887245841035,True,373,2000,1663,1.7,0.2242934455802766,0.2775336509551783,Affordable,Affordable
11902165917,116,594,0.19528619528619529,True,373,1900,1292,2.4,0.2886996904024768,0.3393665158371041,Affordable,Moderately_Affordable
12701172918,116,1038,0.11175337186897881,True,510,2708,2411,3.3,0.21153048527581916,0.25919663082665984,Affordable,Affordable
30203104020,116,874,0.13272311212814644,True,350,1405,1625,1.9,0.2153846153846154,0.1995266272189349,Affordable,Affordable
12302170415,115,718,0.16016713091922005,True,390,1733,1770,3.0,0.22033898305084745,0.22594524119947848,Affordable,Affordable
80104104418,115,982,0.11710794297352342,True,381,1733,2009,2.7,0.18964659034345446,0.19906574261974957,Affordable,Affordable
12504149105,115,896,0.12834821428571427,True,450,1914,2318,3.2,0.19413287316652286,0.19054888166191014,Affordable,Affordable
70101100228,115,731,0.1573187414500684,True,440,1300,2324,1.9,0.18932874354561102,0.12908777969018934,Affordable,Affordable
20902152622,115,901,0.12763596004439512,True,348,1571,1375,2.1,0.2530909090909091,0.26366433566433567,Affordable,Affordable
50602111936,114,804,0.1417910447761194,True,379,1473,1867,2.2,0.20299946438136046,0.182069136005933,Affordable,Affordable
12602150334,114,839,0.13587604290822408,True,350,1950,1625,1.8,0.2153846153846154,0.27692307692307694,Affordable,Affordable
20904152920,114,727,0.15680880330123798,True,331,1750,1187,2.5,0.2788542544229149,0.3402242239647463,Affordable,Moderately_Affordable
20604150320,114,1025,0.11121951219512195,True,301,1257,1341,1.6,0.2244593586875466,0.21631388745482705,Affordable,Affordable
20902152324,114,873,0.13058419243986255,True,368,1733,1553,2.2,0.2369607211848036,0.25751646936450545,Affordable,Affordable
12501158609,114,753,0.15139442231075698,True,511,2167,1974,3.0,0.25886524822695034,0.25333177460837036,Affordable,Affordable
12102157720,114,780,0.14615384615384616,True,450,2003,1821,2.2,0.2471169686985173,0.2538334811810924,Affordable,Affordable
12701172905,114,879,0.1296928327645051,True,520,2579,2347,3.4,0.22155943757988922,0.25358067582183474,Affordable,Affordable
11603131916,113,1036,0.10907335907335908,True,410,2167,1919,3.1,0.2136529442417926,0.26059245600673425,Affordable,Affordable
30503112219,113,938,0.12046908315565032,True,360,1800,1693,2.1,0.21264028352037803,0.24535417329274387,Affordable,Affordable
20904122331,113,1007,0.11221449851042702,True,341,1524,1166,2.2,0.29245283018867924,0.3016229053964903,Affordable,Moderately_Affordable
21003153507,113,524,0.21564885496183206,True,388,1733,1937,2.4,0.20030975735673723,0.2064651920098487,Affordable,Affordable
80110113905,113,1016,0.11122047244094488,True,410,1517,2178,2.2,0.18824609733700642,0.16073320618775164,Affordable,Affordable
12503171424,112,979,0.11440245148110317,True,375,1733,1329,2.6,0.28216704288939054,0.3009202986629623,Affordable,Moderately_Affordable
80101100201,112,831,0.13477737665463296,True,370,1642,1523,2.1,0.24294156270518713,0.24880044446689226,Affordable,Affordable
12504171925,112,682,0.16422287390029325,True,350,1603,1861,2.4,0.18807092960773777,0.19877650560079363,Affordable,Affordable
30503112218,112,728,0.15384615384615385,True,330,1625,1604,1.9,0.2057356608478803,0.23379052369077308,Affordable,Affordable
80104103921,112,769,0.14564369310793238,True,450,1500,1968,2.1,0.22865853658536586,0.17589118198874296,Affordable,Affordable
40302106134,111,805,0.13788819875776398,True,276,1598,1008,2.1,0.27380952380952384,0.3658424908424908,Affordable,Moderately_Affordable
11902166021,111,471,0.2356687898089172,True,350,2000,817,2.2,0.4283965728274174,0.5649185575746163,Expensive,Very_Expensive
12003167621,110,650,0.16923076923076924,True,450,2084,2147,2.8,0.2095947834187238,0.22399770699724122,Affordable,Affordable
70101100806,110,460,0.2391304347826087,True,400,1700,2578,2.3,0.1551590380139643,0.15217521035984963,Affordable,Affordable
11601130334,110,1066,0.10318949343339587,True,380,1692,1952,2.6,0.19467213114754098,0.200031525851198,Affordable,Affordable
12701172932,110,1034,0.10638297872340426,True,520,2600,2157,3.2,0.2410755679184052,0.27816411682892905,Affordable,Affordable
60103101706,110,766,0.14360313315926893,True,200,1300,886,2.0,0.22573363431151242,0.33860045146726864,Affordable,Moderately_Affordable
60303107404,110,948,0.1160337552742616,True,233,1200,981,2.0,0.23751274209989806,0.2822865208186309,Affordable,Affordable
20904153013,110,499,0.22044088176352705,True,371,1863,900,2.7,0.4122222222222222,0.4776923076923077,Expensive,Expensive
12003167601,110,715,0.15384615384615385,True,430,2292,2120,2.3,0.2028301886792453,0.24949201741654572,Affordable,Affordable
40202103026,109,982,0.1109979633401222,True,162,1083,616,2.3,0.262987012987013,0.4057192807192807,Affordable,Expensive
60103101730,109,588,0.18537414965986396,True,370,1083,1029,2.4,0.3595724003887269,0.24287956941018166,Moderately_Affordable,Affordable
60103101708,109,619,0.17609046849757673,True,300,1361,1132,2.2,0.26501766784452296,0.27745311225876595,Affordable,Affordable
