SA1_CODE_2021,China_population,total_population,concentration_ratio,is_cluster
12102157910,487,1557,0.3127809890815671,True
12101168413,487,973,0.5005138746145941,True
20703116503,487,1647,0.2956891317547055,True
12602150011,486,1516,0.32058047493403696,True
11903166508,486,856,0.5677570093457944,True
11902165913,486,1225,0.396734693877551,True
11903137312,485,729,0.6652949245541838,True
20604150314,485,1106,0.4385171790235081,True
12502171214,483,1060,0.4556603773584906,True
12003139640,483,1265,0.38181818181818183,True
20604111747,482,1233,0.3909164639091646,True
12602172337,482,984,0.4898373983739837,True
21205132419,481,1454,0.33081155433287485,True
30303106112,481,1253,0.383878691141261,True
12501158204,480,2033,0.23610427939006395,True
11903166513,480,908,0.5286343612334802,True
12602172436,479,1356,0.3532448377581121,True
20604150918,479,1225,0.39102040816326533,True
12501171013,478,1153,0.41457068516912404,True
12501171034,477,2429,0.1963771099217785,True
12501158215,476,1288,0.3695652173913043,True
11904137815,475,2164,0.21950092421441775,True
12602172340,475,1111,0.42754275427542754,True
12101140131,474,1959,0.24196018376722817,True
20702115924,473,949,0.49841938883034775,True
11703164822,473,636,0.7437106918238994,True
20604150505,473,1161,0.4074074074074074,True
30306107707,473,3163,0.14954157445463168,True
12501158623,471,1297,0.36314572089437164,True
21205132417,471,1403,0.33570919458303633,True
11902166010,471,833,0.5654261704681873,True
11903137409,470,803,0.5853051058530511,True
20702142505,470,1494,0.31459170013386883,True
20606151525,470,1014,0.4635108481262327,True
12001167312,469,757,0.619550858652576,True
21205132246,469,871,0.5384615384615384,True
20703116523,469,1409,0.33286018452803406,True
12602172325,469,693,0.6767676767676768,True
30305107351,469,1046,0.4483747609942639,True
12501158403,468,1184,0.3952702702702703,True
40101100135,468,754,0.6206896551724138,True
12003167819,468,1017,0.46017699115044247,True
12501158319,467,1145,0.4078602620087336,True
11902165907,467,920,0.5076086956521739,True
12101168409,467,1118,0.41771019677996424,True
12103140760,465,1228,0.3786644951140065,True
21205132114,465,1140,0.40789473684210525,True
30303106111,465,1152,0.4036458333333333,True
30501111028,465,1092,0.4258241758241758,True
11903166506,465,842,0.5522565320665083,True
12502147825,464,1709,0.27150380339379754,True
20702115753,464,1335,0.34756554307116105,True
12602172306,464,835,0.555688622754491,True
40101100119,464,1242,0.37359098228663445,True
21101125438,464,1148,0.40418118466898956,True
11903137426,463,683,0.677891654465593,True
12103140927,463,1291,0.35863671572424477,True
12502171207,462,1070,0.43177570093457945,True
20701114717,462,1023,0.45161290322580644,True
12602172504,462,1211,0.3815028901734104,True
20702142403,462,1169,0.39520958083832336,True
11903166518,462,857,0.5390898483080513,True
11903166512,462,1178,0.3921901528013582,True
11903166504,460,862,0.5336426914153132,True
12502147805,458,1308,0.35015290519877673,True
80105105308,458,1109,0.41298467087466184,True
12103140860,458,1242,0.3687600644122383,True
12601172125,458,1070,0.4280373831775701,True
20604150527,457,1614,0.28314745972738536,True
20604150427,456,1206,0.3781094527363184,True
21305146411,456,1474,0.3093622795115332,True
20701114823,456,1010,0.4514851485148515,True
20703116206,455,1458,0.3120713305898491,True
11902165905,455,949,0.4794520547945205,True
40103101303,453,1439,0.31480194579569143,True
12602172321,453,1137,0.39841688654353563,True
20702142523,452,1081,0.4181313598519889,True
21104126908,452,1330,0.3398496240601504,True
12502171123,451,1077,0.41875580315691735,True
12602172333,451,840,0.5369047619047619,True
11903137304,451,1306,0.3453292496171516,True
21205156822,451,1150,0.39217391304347826,True
11903166416,450,1012,0.44466403162055335,True
20604150434,450,1381,0.3258508327299059,True
20604150321,450,1218,0.3694581280788177,True
20604111834,449,1786,0.25139977603583424,True
12502171201,448,956,0.4686192468619247,True
21205132333,447,1446,0.3091286307053942,True
20701152225,447,1490,0.3,True
20703116411,447,1095,0.40821917808219177,True
12602150051,447,751,0.5952063914780293,True
11902166015,446,989,0.45096056622851366,True
12501171023,446,1242,0.35909822866344604,True
21205132633,446,1422,0.3136427566807314,True
20703116512,446,1156,0.38581314878892736,True
12101168412,446,1001,0.44555444555444557,True
20703116348,445,873,0.5097365406643757,True
30305107350,445,1247,0.3568564554931836,True
40101100159,445,654,0.6804281345565749,True
12003167715,445,1152,0.3862847222222222,True
12501158308,445,1140,0.39035087719298245,True
11701163528,445,1078,0.41280148423005564,True
30303106105,444,1053,0.42165242165242167,True
12501158238,444,1605,0.2766355140186916,True
30305107348,443,1108,0.39981949458483756,True
20701114713,443,1098,0.4034608378870674,True
20701115510,443,897,0.4938684503901895,True
12103140754,443,1234,0.35899513776337116,True
20604150810,442,1457,0.303363074811256,True
20703116352,442,652,0.6779141104294478,True
20701114724,442,1111,0.39783978397839787,True
12003167714,442,1094,0.4040219378427788,True
21205156710,441,473,0.9323467230443975,True
12103140945,441,851,0.518213866039953,True
11703163805,440,768,0.5729166666666666,True
12101168444,438,968,0.4524793388429752,True
11903137011,438,1407,0.31130063965884863,True
12602150313,438,1587,0.27599243856332706,True
12501158409,438,975,0.4492307692307692,True
20701114806,437,1010,0.43267326732673267,True
12001167321,437,730,0.5986301369863014,True
20702115734,436,1256,0.3471337579617834,True
12602150050,436,980,0.4448979591836735,True
21205156821,435,1039,0.41867179980750724,True
20702115707,435,1212,0.3589108910891089,True
12003167922,435,951,0.45741324921135645,True
60104102237,434,1544,0.2810880829015544,True
30304106906,433,846,0.5118203309692672,True
12501158502,433,766,0.5652741514360313,True
11902166007,432,909,0.4752475247524752,True
20702115737,431,1051,0.4100856327307326,True
11903166403,431,1098,0.3925318761384335,True
12502171238,430,984,0.4369918699186992,True
20703116513,430,1380,0.3115942028985507,True
30306108039,429,1249,0.3434747798238591,True
12501158316,429,882,0.48639455782312924,True
11701163536,429,1506,0.2848605577689243,True
12103141056,429,1324,0.3240181268882175,True
12103140747,428,1227,0.34881825590872045,True
20703116604,428,1042,0.4107485604606526,True
11903166501,428,739,0.5791610284167794,True
11501155604,428,903,0.4739756367663344,True
11904167116,428,587,0.7291311754684838,True
20702115729,428,979,0.4371807967313585,True
