SA1_CODE_2021,Vietnam_population,total_population,concentration_ratio,is_cluster,anchor_strength
12702151128,725,1356,0.5346607669616519,True,3.5221045433244664
12702151336,582,1053,0.5527065527065527,True,3.519738786757822
21301133713,588,1066,0.551594746716698,True,3.5183063752224513
12702151203,383,648,0.5910493827160493,True,3.517123607470832
21301133432,476,835,0.5700598802395209,True,3.5158537121710784
21301133403,437,757,0.5772787318361955,True,3.511135619332242
21204131728,433,753,0.5750332005312085,True,3.4922022354123183
21204131718,457,802,0.5698254364089775,True,3.4912459066585817
21301133307,540,975,0.5538461538461539,True,3.485586062130359
21303134744,407,702,0.5797720797720798,True,3.485164871769934
12702151228,639,1190,0.5369747899159664,True,3.46964551654624
21301133720,513,924,0.5551948051948052,True,3.4656499298468617
21301133701,454,802,0.5660847880299252,True,3.464607267086947
21204131705,322,537,0.5996275605214153,True,3.464439568114889
12702151321,383,658,0.5820668693009119,True,3.463671880913525
21301133533,314,522,0.6015325670498084,True,3.460359786573273
12702151229,746,1433,0.520586182833217,True,3.4442321201040347
31001127432,507,920,0.5510869565217391,True,3.433537058611185
12702151331,597,1114,0.5359066427289049,True,3.4263677559322505
12702151315,531,973,0.5457348406988695,True,3.4253830347794585
21301133520,632,1191,0.5306465155331654,True,3.4229196530605535
31001127427,427,756,0.5648148148148148,True,3.4222825456526813
12702151133,252,408,0.6176470588235294,True,3.417681743037586
12702151311,575,1073,0.5358807082945014,True,3.4061154752098206
12702151153,339,581,0.5834767641996558,True,3.4010543276589678
12702151329,270,445,0.6067415730337079,True,3.3990383857022906
21204131706,494,906,0.5452538631346578,True,3.3830590890827077
40402110237,535,997,0.5366098294884654,True,3.372128160654843
31001127430,612,1166,0.5248713550600344,True,3.36881590119465
21301132909,699,1362,0.513215859030837,True,3.3621183217293242
21204131823,486,896,0.5424107142857143,True,3.356580763189887
21303134906,505,942,0.5360934182590233,True,3.3380053269534713
11901157213,440,804,0.5472636815920398,True,3.3323131159161843
21301133705,495,922,0.5368763557483731,True,3.332163865215661
21301133710,412,746,0.5522788203753352,True,3.326622531233171
12702151106,528,1005,0.5253731343283582,True,3.294608847782271
21204131724,504,954,0.5283018867924528,True,3.288445962636039
21204131712,572,1106,0.5171790235081374,True,3.2845448733823064
21301133702,460,859,0.5355064027939465,True,3.284473922908566
21301133718,588,1143,0.5144356955380578,True,3.2812901102249636
21204131703,720,1445,0.4982698961937716,True,3.2789343798236423
21301133515,518,992,0.5221774193548387,True,3.2646030357660587
21301133409,476,900,0.5288888888888889,True,3.261930944069834
21301133305,457,859,0.5320139697322468,True,3.2595799966707597
20607151801,385,707,0.5445544554455446,True,3.243277775451146
40401109721,782,1610,0.4857142857142857,True,3.2363787380526756
31001127431,313,557,0.5619389587073609,True,3.230807907700688
12702150913,523,1019,0.5132482826300294,True,3.213699853679985
31001127209,561,1107,0.5067750677506775,True,3.208647278943415
21301133719,340,619,0.5492730210016155,True,3.2032957064239023
21301133412,514,1002,0.5129740518962076,True,3.2030955957496614
12702151318,533,1048,0.5085877862595419,True,3.1941326165704043
12702151140,309,555,0.5567567567567567,True,3.1938753872451717
12702151305,289,516,0.560077519379845,True,3.175572842522035
31001127410,428,817,0.5238678090575275,True,3.1754021558154113
12702152020,530,1048,0.5057251908396947,True,3.173305220666248
31001127420,736,1540,0.4779220779220779,True,3.1555225250982804
21303134719,293,528,0.5549242424242424,True,3.1539561966481697
21301132906,470,920,0.5108695652173914,True,3.1443296784649095
12702151325,422,816,0.5171568627450981,True,3.1274400239675604
11901157246,582,1189,0.4894869638351556,True,3.117144610980645
21204131702,373,712,0.523876404494382,True,3.103577826454523
12702150937,682,1435,0.4752613240418119,True,3.101790588311693
21301133411,550,1121,0.49063336306868865,True,3.096747676212402
21301133443,555,1135,0.4889867841409692,True,3.0907721615057917
21303134703,407,792,0.5138888888888888,True,3.089123409068805
11901157131,574,1181,0.48602878916172737,True,3.0884067768142924
11901157106,474,947,0.5005279831045406,True,3.084911528101816
21301133406,458,914,0.5010940919037199,True,3.0712308492425926
