SA1_CODE_2021,India_population,total_population,concentration_ratio,is_cluster,Median_rent_weekly,Median_mortgage_repay_monthly,Median_tot_hhd_inc_weekly,Average_household_size,rent_to_income_ratio,mortgage_to_income_ratio,rent_affordability,mortgage_affordability
30601114236,129,1278,0.10093896713615023,True,473,1950,2257,2.8,0.2095702259636686,0.1993797075764289,Affordable,Affordable
12703173131,129,1156,0.1115916955017301,True,350,1733,1220,2.5,0.28688524590163933,0.3278058007566204,Affordable,Moderately_Affordable
12103141243,129,1033,0.12487899322362052,True,650,3225,2963,2.7,0.2193722578467769,0.251174744931073,Affordable,Affordable
40402110203,129,651,0.19815668202764977,True,260,1416,1343,2.6,0.193596425912137,0.24331290451915918,Affordable,Affordable
50401104621,129,1283,0.10054559625876851,True,250,1300,1300,1.7,0.19230769230769232,0.23076923076923078,Affordable,Affordable
80104104404,129,1160,0.11120689655172414,True,511,2288,3226,3.3,0.15840049597024178,0.16367017978921264,Affordable,Affordable
21205131906,129,1098,0.11748633879781421,True,506,2750,2360,2.8,0.21440677966101696,0.2689048239895698,Affordable,Affordable
21304136005,129,682,0.18914956011730205,True,386,2000,2050,3.1,0.18829268292682927,0.225140712945591,Affordable,Affordable
20902152601,129,842,0.15320665083135393,True,350,2000,1644,2.1,0.21289537712895376,0.2807411566535654,Affordable,Affordable
20904121708,129,579,0.22279792746113988,True,361,1599,1375,2.0,0.2625454545454545,0.26836363636363636,Affordable,Affordable
21204131221,129,785,0.1643312101910828,True,361,1550,1375,2.8,0.2625454545454545,0.2601398601398601,Affordable,Affordable
30908155908,129,1244,0.10369774919614148,True,255,0,495,1.1,0.5151515151515151,0.0,Very_Expensive,Affordable
11603131753,129,668,0.19311377245508982,True,400,1680,1625,3.5,0.24615384615384617,0.23857988165680474,Affordable,Affordable
40205105221,129,649,0.1987673343605547,True,300,1394,1634,2.5,0.1835985312117503,0.1968741173147538,Affordable,Affordable
12405158101,129,1219,0.10582444626743231,True,400,1781,1615,2.8,0.2476780185758514,0.2544891640866873,Affordable,Affordable
80104103915,129,636,0.2028301886792453,True,620,2079,2974,3.5,0.20847343644922664,0.16132119393719932,Affordable,Affordable
21301133421,129,904,0.1426991150442478,True,330,1637,1292,3.0,0.25541795665634676,0.2923910454870207,Affordable,Affordable
80101101905,129,956,0.13493723849372385,True,450,1820,2203,2.6,0.20426690876078074,0.19064911484339536,Affordable,Affordable
60103101802,129,909,0.1419141914191419,True,300,1300,1202,2.2,0.24958402662229617,0.24958402662229617,Affordable,Affordable
20101100626,129,475,0.27157894736842103,True,381,1733,2203,3.1,0.17294598275079437,0.18153566814483746,Affordable,Affordable
21205132134,129,711,0.18143459915611815,True,461,2000,1812,2.8,0.2544150110375276,0.2547121752419766,Affordable,Affordable
20902152416,129,910,0.14175824175824175,True,336,1800,1581,2.6,0.2125237191650854,0.2627353670996935,Affordable,Affordable
21005144108,129,687,0.18777292576419213,True,346,1500,1383,2.7,0.2501807664497469,0.2502920073418989,Affordable,Affordable
21301133441,129,1109,0.11632100991884581,True,324,1509,1110,2.7,0.2918918918918919,0.3137214137214137,Affordable,Moderately_Affordable
21104127218,128,900,0.14222222222222222,True,421,2236,2387,3.0,0.1763720150816925,0.2161709258483452,Affordable,Affordable
40302106424,128,1109,0.11541929666366095,True,390,1633,1401,2.3,0.278372591006424,0.2689836929665623,Affordable,Affordable
80104112205,128,506,0.25296442687747034,True,650,2732,3291,3.1,0.19750835612275905,0.1915714185540986,Affordable,Affordable
80110113509,128,1099,0.1164695177434031,True,530,1938,2737,2.6,0.1936426744610888,0.1634018155757286,Affordable,Affordable
21305136203,128,721,0.17753120665742025,True,330,1679,1298,2.8,0.2542372881355932,0.2985065781675951,Affordable,Affordable
11902157317,128,778,0.16452442159383032,True,360,1667,1329,3.1,0.2708803611738149,0.28945997569022397,Affordable,Affordable
21205132619,128,1228,0.10423452768729642,True,456,2500,2475,2.8,0.18424242424242424,0.2331002331002331,Affordable,Affordable
21203145828,128,700,0.18285714285714286,True,413,2000,2133,3.4,0.19362400375058603,0.21637996321540626,Affordable,Affordable
21203130404,128,1065,0.12018779342723004,True,360,1733,1862,3.5,0.1933404940923738,0.2147814591423614,Affordable,Affordable
12601172001,128,817,0.15667074663402691,True,645,2780,2824,3.1,0.22839943342776203,0.22717367618217477,Affordable,Affordable
12703173308,128,1030,0.12427184466019417,True,580,2400,2424,3.8,0.23927392739273928,0.2284843869002285,Affordable,Affordable
11501155609,128,1150,0.11130434782608696,True,623,3720,3200,3.4,0.1946875,0.26826923076923076,Affordable,Affordable
21201155004,128,1219,0.10500410172272355,True,355,1729,1757,2.9,0.2020489470688674,0.22709163346613545,Affordable,Affordable
21203156013,128,802,0.1596009975062344,True,360,1625,1437,2.8,0.25052192066805845,0.2609603340292276,Affordable,Affordable
21204130902,128,832,0.15384615384615385,True,430,2373,1652,2.7,0.2602905569007264,0.33148631029986964,Affordable,Moderately_Affordable
