SA1_CODE_2021,Lebanon_population,total_population,concentration_ratio,is_cluster
12503148408,212,1075,0.1972093023255814,True
12503148404,210,1115,0.18834080717488788,True
11702163709,210,796,0.2638190954773869,True
11902136610,210,899,0.2335928809788654,True
12503171409,209,998,0.2094188376753507,True
11904166908,208,1180,0.17627118644067796,True
11901165625,208,551,0.37749546279491836,True
12503171608,206,1061,0.1941564561734213,True
12503171406,206,1080,0.19074074074074074,True
12503148426,205,831,0.246690734055355,True
11901157243,205,836,0.2452153110047847,True
11901136132,205,1077,0.1903435468895079,True
12503171429,204,1035,0.19710144927536233,True
21005124208,203,1314,0.15449010654490106,True
21005124224,203,1044,0.19444444444444445,True
11901135612,203,1249,0.16253002401921537,True
12503171603,201,939,0.21405750798722045,True
11901136117,201,1488,0.1350806451612903,True
11901135441,200,929,0.21528525296017223,True
12503148122,200,1166,0.17152658662092624,True
11901135615,199,1201,0.16569525395503748,True
12703159911,199,1072,0.18563432835820895,True
11901135627,198,772,0.25647668393782386,True
12503147923,198,1653,0.11978221415607986,True
12503148007,197,927,0.21251348435814454,True
11902136628,197,785,0.25095541401273885,True
11901165606,196,736,0.266304347826087,True
11901136137,196,1071,0.1830065359477124,True
12503148115,195,824,0.2366504854368932,True
12501158405,195,1163,0.16766981943250214,True
11901157216,195,1149,0.16971279373368145,True
11901135611,194,1284,0.15109034267912771,True
10701154533,194,1040,0.18653846153846154,True
12503148307,194,889,0.21822272215973004,True
12503148009,193,757,0.25495376486129456,True
12503147916,193,774,0.24935400516795866,True
11901136118,193,1177,0.16397621070518267,True
21005124225,192,1235,0.15546558704453442,True
11901135435,192,1233,0.15571776155717762,True
11904166910,192,1175,0.16340425531914893,True
12501158404,192,1260,0.1523809523809524,True
12503147924,191,1577,0.12111604311984782,True
11902165915,191,1242,0.1537842190016103,True
12703159909,190,1424,0.13342696629213482,True
12503148439,190,1092,0.17399267399267399,True
12503148117,190,719,0.26425591098748263,True
12503148309,189,681,0.2775330396475771,True
11901165517,189,742,0.25471698113207547,True
12503171440,188,787,0.2388818297331639,True
11901157119,188,823,0.2284325637910085,True
21005124310,187,791,0.23640960809102401,True
12503171426,187,1196,0.15635451505016723,True
12503148138,187,1241,0.1506849315068493,True
21005124724,186,1285,0.14474708171206227,True
12503148416,186,1159,0.16048317515099222,True
12503148318,186,1558,0.11938382541720154,True
12501158214,186,738,0.25203252032520324,True
11902136725,185,1187,0.15585509688289806,True
11902136627,184,880,0.20909090909090908,True
11902136603,184,921,0.1997828447339848,True
12503147940,183,1271,0.14398111723052714,True
21005124306,183,898,0.20378619153674832,True
12503171425,183,1233,0.14841849148418493,True
12503148438,182,1014,0.1794871794871795,True
11902136622,182,700,0.26,True
11902136720,182,1559,0.11674150096215523,True
11901165601,182,679,0.26804123711340205,True
11901135616,182,776,0.2345360824742268,True
12501158212,181,1240,0.14596774193548387,True
21302134311,181,680,0.2661764705882353,True
12503171422,181,1112,0.16276978417266186,True
12503171610,181,1205,0.15020746887966804,True
11902136203,181,1124,0.1610320284697509,True
12503171606,181,1105,0.16380090497737557,True
12503148424,181,927,0.19525350593311758,True
11901157109,181,839,0.21573301549463647,True
11902157310,181,1215,0.14897119341563786,True
12703159912,181,1171,0.15456874466268147,True
11901157210,181,823,0.21992709599027946,True
11902136625,180,674,0.26706231454005935,True
11902136633,180,562,0.3202846975088968,True
21005124205,180,1618,0.11124845488257108,True
12503147901,180,1197,0.15037593984962405,True
11901136114,180,1100,0.16363636363636364,True
11901165519,179,587,0.3049403747870528,True
12503171417,179,1058,0.16918714555765596,True
11902165924,179,1171,0.15286080273270708,True
11901157131,179,1181,0.15156646909398813,True
11902136620,179,803,0.22291407222914073,True
12503171427,178,795,0.2238993710691824,True
11904167028,178,1088,0.1636029411764706,True
12503147925,178,1386,0.12842712842712842,True
11901136134,177,1373,0.12891478514202476,True
11901136120,177,890,0.19887640449438201,True
12503148402,176,1040,0.16923076923076924,True
11901165508,176,1058,0.166351606805293,True
11904166831,176,1073,0.16402609506057783,True
11901136125,175,761,0.22996057818659657,True
12503148016,175,1651,0.10599636583888553,True
11902136726,174,1164,0.14948453608247422,True
11901157145,174,1357,0.12822402358142962,True
12503148441,173,1318,0.13125948406676782,True
12503148321,171,977,0.1750255885363357,True
11902157415,171,726,0.23553719008264462,True
11901136126,171,1239,0.13801452784503632,True
12503171402,171,1552,0.11018041237113402,True
11901135606,170,1171,0.14517506404782238,True
12503147931,169,772,0.2189119170984456,True
11901136029,169,1326,0.12745098039215685,True
12503148429,169,916,0.18449781659388648,True
12503148127,169,749,0.22563417890520696,True
11904166907,169,1244,0.13585209003215434,True
12503148140,168,985,0.17055837563451776,True
12503148406,168,1663,0.10102224894768491,True
12504171813,167,1366,0.12225475841874085,True
12701150409,167,898,0.18596881959910913,True
11901165503,167,886,0.18848758465011287,True
11901157235,167,775,0.21548387096774194,True
21005124218,167,1466,0.11391541609822646,True
11902157303,167,1106,0.15099457504520797,True
12703159903,166,1068,0.15543071161048688,True
12503147902,166,1208,0.13741721854304637,True
11902157414,165,1223,0.1349141455437449,True
11904166809,165,1132,0.14575971731448764,True
12503147942,165,1230,0.13414634146341464,True
11901157224,165,1270,0.12992125984251968,True
12703152321,165,1348,0.12240356083086053,True
11902136607,164,939,0.17465388711395102,True
12503148435,164,1136,0.1443661971830986,True
12503171331,163,1123,0.14514692787177205,True
11901135450,163,1184,0.13766891891891891,True
12503171304,163,864,0.1886574074074074,True
11901136130,163,826,0.1973365617433414,True
12001138325,162,1052,0.15399239543726237,True
11902157421,161,973,0.16546762589928057,True
11904166834,161,1168,0.13784246575342465,True
11901157212,161,1394,0.11549497847919656,True
12503148427,161,1424,0.11306179775280899,True
12503171432,160,750,0.21333333333333335,True
12503148326,160,570,0.2807017543859649,True
12503171416,159,1262,0.1259904912836767,True
12504171910,158,778,0.20308483290488433,True
11901165514,158,867,0.18223760092272204,True
11901157217,158,1016,0.15551181102362205,True
11902136618,158,1120,0.14107142857142857,True
21003153502,157,1101,0.14259763851044505,True
11904166823,157,903,0.17386489479512734,True
12701150424,156,1540,0.1012987012987013,True
11901135617,156,801,0.1947565543071161,True
11902136708,156,998,0.156312625250501,True
11901157130,156,953,0.16369359916054566,True
12703159925,156,1122,0.13903743315508021,True
11902157305,155,1286,0.12052877138413685,True
11901157242,155,1216,0.12746710526315788,True
11902136643,155,800,0.19375,True
11901135453,155,573,0.2705061082024433,True
11902136723,154,1221,0.12612612612612611,True
21005124314,154,1232,0.125,True
12701150425,154,902,0.17073170731707318,True
12503171612,154,1066,0.14446529080675422,True
21005124723,154,1203,0.12801330008312553,True
11901135621,154,869,0.17721518987341772,True
12503171441,153,718,0.21309192200557103,True
11902136229,153,934,0.16381156316916487,True
11901136002,153,1195,0.1280334728033473,True
11904166913,152,1042,0.14587332053742802,True
11904166807,152,834,0.18225419664268586,True
11901135443,151,954,0.15828092243186584,True
11901135446,151,755,0.2,True
11901135629,151,606,0.24917491749174916,True
11901136112,151,1099,0.13739763421292084,True
11901157214,151,1259,0.1199364575059571,True
11901135409,151,1019,0.1481844946025515,True
12003167915,151,1133,0.13327449249779347,True
12503148421,150,1163,0.1289767841788478,True
11902136220,150,858,0.17482517482517482,True
