SA1_CODE_2021,Iraq_population,total_population,concentration_ratio,is_cluster
12703173230,309,613,0.5040783034257749,True
12702151045,306,1136,0.26936619718309857,True
21005154202,306,1076,0.2843866171003718,True
21005154305,304,1151,0.26411815812337097,True
12702151934,301,974,0.30903490759753593,True
12503148020,301,1405,0.21423487544483985,True
12702151505,300,548,0.5474452554744526,True
21005144346,297,817,0.3635250917992656,True
12703173212,297,1109,0.2678088367899008,True
21005124306,297,898,0.3307349665924276,True
21005154220,296,1257,0.2354813046937152,True
21005124343,295,857,0.3442240373395566,True
21005154209,295,1085,0.271889400921659,True
21005144333,295,1134,0.2601410934744268,True
12702151420,294,805,0.3652173913043478,True
12702151010,294,542,0.5424354243542435,True
12702151930,294,1128,0.26063829787234044,True
12702151921,293,830,0.3530120481927711,True
12702151929,292,969,0.3013415892672859,True
12701159742,291,956,0.3043933054393305,True
12702151022,291,661,0.4402420574886536,True
12702151911,290,677,0.42836041358936483,True
12702151032,290,745,0.38926174496644295,True
12701159710,290,985,0.29441624365482233,True
21005154508,286,711,0.4022503516174402,True
12503148032,286,1271,0.2250196695515342,True
12701159745,285,958,0.2974947807933194,True
21005154530,283,814,0.3476658476658477,True
21005154204,283,963,0.29387331256490135,True
21005154524,282,935,0.3016042780748663,True
12701159509,281,1097,0.2561531449407475,True
21005144209,281,1324,0.2122356495468278,True
12702151027,280,887,0.3156708004509583,True
12703173228,280,1189,0.23549201009251472,True
21005144326,280,1139,0.24582967515364354,True
12703173221,279,1044,0.2672413793103448,True
12703173109,278,898,0.30957683741648107,True
12702150940,277,1305,0.21226053639846743,True
12702151029,277,813,0.34071340713407133,True
12702151516,277,885,0.3129943502824859,True
12702151021,276,732,0.3770491803278688,True
21304146113,276,2743,0.1006197593875319,True
12703173113,275,957,0.28735632183908044,True
12702151035,275,689,0.3991291727140784,True
12702151402,274,791,0.3463969658659924,True
12702150909,273,1421,0.1921182266009852,True
21005154419,272,811,0.3353884093711467,True
12703173112,272,892,0.30493273542600896,True
12703159923,271,960,0.28229166666666666,True
12702151522,269,731,0.3679890560875513,True
12703173203,269,961,0.27991675338189387,True
12702151718,269,671,0.4008941877794337,True
21005144348,268,1569,0.17080943275971958,True
12703159913,268,1012,0.2648221343873518,True
12702151509,268,953,0.2812172088142707,True
21005144511,267,684,0.39035087719298245,True
12703159918,266,1582,0.168141592920354,True
12702151026,266,698,0.38108882521489973,True
12702151512,265,1191,0.2225020990764064,True
12701159506,265,1229,0.21562245728234336,True
12703160102,264,1738,0.1518987341772152,True
12703159906,264,787,0.3354510800508259,True
12702150905,263,959,0.27424400417101147,True
21005154532,263,901,0.29189789123196447,True
12703159907,263,1469,0.17903335602450646,True
21005154321,263,1248,0.2107371794871795,True
12702150908,263,945,0.2783068783068783,True
12701159414,262,994,0.2635814889336016,True
31701145409,262,1108,0.2364620938628159,True
12702152011,262,1072,0.24440298507462688,True
12702151020,262,537,0.48789571694599626,True
12703159920,261,984,0.2652439024390244,True
12701159306,261,971,0.2687950566426365,True
12702151009,260,826,0.31476997578692495,True
12703159901,259,1237,0.20937752627324172,True
12703159914,259,1115,0.23228699551569507,True
21005144231,258,1411,0.18284904323175052,True
12702151003,257,700,0.36714285714285716,True
21005144534,256,758,0.33773087071240104,True
12703159902,256,1102,0.2323049001814882,True
12701159732,254,1075,0.23627906976744187,True
12702151411,254,542,0.46863468634686345,True
12702151013,253,758,0.3337730870712401,True
21603159403,252,1547,0.16289592760180996,True
12701159428,252,1082,0.23290203327171904,True
12503148016,252,1651,0.15263476680799515,True
12702151932,251,776,0.3234536082474227,True
12701159614,251,854,0.2939110070257611,True
31403139431,251,1007,0.24925521350546176,True
21005154201,250,900,0.2777777777777778,True
12703159917,250,826,0.3026634382566586,True
12703173104,249,501,0.49700598802395207,True
12702151910,247,695,0.3553956834532374,True
12702151408,247,923,0.2676056338028169,True
21005154211,247,1066,0.23170731707317074,True
12701159411,246,1353,0.18181818181818182,True
21005154216,245,822,0.2980535279805353,True
12702151908,244,485,0.5030927835051546,True
12703159904,244,982,0.2484725050916497,True
12702152015,244,649,0.37596302003081666,True
21005144310,244,962,0.25363825363825365,True
12702151521,244,661,0.3691376701966717,True
21005154503,243,624,0.3894230769230769,True
12702150902,243,1314,0.18493150684931506,True
21005154512,242,948,0.2552742616033755,True
21005154215,242,1044,0.23180076628352492,True
21005154523,242,870,0.27816091954022987,True
12702151002,242,639,0.37871674491392804,True
12703173220,241,765,0.3150326797385621,True
21005154409,240,899,0.26696329254727474,True
31701145925,240,1182,0.20304568527918782,True
12702151535,240,719,0.3337969401947149,True
12702151916,238,661,0.3600605143721634,True
12703173334,238,900,0.2644444444444444,True
12701159741,238,777,0.3063063063063063,True
21005144328,237,1141,0.2077125328659071,True
12702151931,237,595,0.3983193277310924,True
21005124703,237,1188,0.1994949494949495,True
21005154318,237,1308,0.1811926605504587,True
21005154320,236,884,0.2669683257918552,True
12702150904,236,882,0.2675736961451247,True
12702151927,236,670,0.3522388059701492,True
12703173205,236,861,0.27409988385598144,True
21005144314,235,1116,0.21057347670250895,True
12702151413,234,1093,0.2140896614821592,True
12703152215,234,917,0.25517993456924754,True
11001118635,233,591,0.3942470389170897,True
12702151011,233,631,0.3692551505546751,True
12702151629,232,690,0.336231884057971,True
21005154317,232,1245,0.18634538152610441,True
21005154214,232,1073,0.21621621621621623,True
12702151014,231,907,0.25468577728776187,True
12702151933,230,1292,0.1780185758513932,True
21005154311,228,770,0.2961038961038961,True
12702151901,228,923,0.24702058504875407,True
12701159735,227,858,0.26456876456876455,True
21005154528,226,687,0.3289665211062591,True
12702150936,226,1184,0.19087837837837837,True
12703173131,226,1156,0.19550173010380623,True
21005144555,225,1658,0.13570566948130278,True
12702151326,225,1390,0.1618705035971223,True
12702151015,224,611,0.36661211129296234,True
12701159518,224,801,0.27965043695380776,True
21005144309,223,1385,0.16101083032490976,True
21005124721,223,1040,0.2144230769230769,True
21005144313,223,793,0.2812105926860025,True
21005124706,222,1099,0.20200181983621474,True
21005154401,221,888,0.24887387387387389,True
12701159521,220,774,0.2842377260981912,True
12702151503,220,520,0.4230769230769231,True
12702151636,220,598,0.36789297658862874,True
12702151705,220,890,0.24719101123595505,True
12702151024,219,918,0.238562091503268,True
21005144520,219,889,0.24634420697412823,True
21005124320,217,1445,0.15017301038062283,True
21005124307,217,423,0.5130023640661938,True
12702152003,217,781,0.27784891165172854,True
12703173105,216,1401,0.15417558886509636,True
12702151506,215,443,0.4853273137697517,True
12701159708,215,1213,0.17724649629018963,True
21005124726,215,986,0.21805273833671399,True
21005144512,214,1128,0.18971631205673758,True
11001118633,213,557,0.38240574506283664,True
21005154210,213,760,0.2802631578947368,True
12702151714,212,621,0.3413848631239936,True
12701159519,212,1121,0.18911685994647637,True
12302170324,210,1274,0.16483516483516483,True
12703173134,210,911,0.2305159165751921,True
12701159610,209,1247,0.16760224538893345,True
12701159424,209,1014,0.20611439842209073,True
12701159413,208,1187,0.17523167649536647,True
20904143714,208,1472,0.14130434782608695,True
12702151511,208,699,0.29756795422031473,True
12702151530,208,471,0.4416135881104034,True
12701159606,208,678,0.30678466076696165,True
12701159406,208,1367,0.15215801024140455,True
12701159508,207,1092,0.18956043956043955,True
12701159316,207,891,0.23232323232323232,True
21005154501,206,693,0.2972582972582973,True
12703173137,206,1251,0.16466826538768986,True
21005124713,205,1173,0.17476555839727195,True
12703173129,204,770,0.2649350649350649,True
12702152021,204,1171,0.17421007685738685,True
11001118644,204,995,0.2050251256281407,True
21005124309,204,712,0.28651685393258425,True
21005144304,203,848,0.23938679245283018,True
12701159503,203,1159,0.17515099223468508,True
12701159734,203,806,0.2518610421836228,True
31701144629,203,825,0.24606060606060606,True
12701159609,202,913,0.2212486308871851,True
21005144523,202,922,0.21908893709327548,True
21005154308,202,808,0.25,True
12703159912,202,1171,0.17250213492741248,True
21005144546,201,964,0.20850622406639005,True
