SA1_CODE_2021,China_population,total_population,concentration_ratio,is_cluster,Median_rent_weekly,Median_mortgage_repay_monthly,Median_tot_hhd_inc_weekly,Average_household_size,rent_to_income_ratio,mortgage_to_income_ratio,rent_affordability,mortgage_affordability
11902165924,680,1171,0.5807002561912895,True,420,2279,1718,3.2,0.24447031431897556,0.3061251902928271,Affordable,Moderately_Affordable
11703164814,679,987,0.6879432624113475,True,630,2735,1937,2.1,0.3252452245740836,0.32584091179857827,Moderately_Affordable,Moderately_Affordable
20701114714,678,1351,0.5018504811250926,True,631,3000,2175,3.0,0.29011494252873565,0.3183023872679045,Affordable,Moderately_Affordable
20702115712,678,1381,0.49094858797972485,True,500,2012,1601,2.5,0.3123048094940662,0.2900110507855667,Moderately_Affordable,Affordable
12502171118,676,1390,0.48633093525179855,True,624,3033,2112,3.2,0.29545454545454547,0.33140297202797203,Affordable,Moderately_Affordable
11703164318,675,2178,0.30991735537190085,True,570,2500,2095,1.9,0.2720763723150358,0.2753809436387002,Affordable,Affordable
20702115716,674,1637,0.41172877214416614,True,500,2700,1875,2.6,0.26666666666666666,0.3323076923076923,Affordable,Moderately_Affordable
11703164821,671,1157,0.5799481417458946,True,600,2625,2113,1.9,0.28395646000946523,0.2866868105864793,Affordable,Affordable
11903166522,669,827,0.8089480048367593,True,500,2300,2011,2.9,0.2486325211337643,0.26393298397276516,Affordable,Affordable
12003167803,667,969,0.6883384932920537,True,500,2800,1335,2.1,0.37453183520599254,0.4840103716508211,Moderately_Affordable,Expensive
11703164805,664,1011,0.6567754698318496,True,665,3000,2143,2.0,0.31031264582361173,0.32305538605118633,Moderately_Affordable,Moderately_Affordable
11903166511,664,982,0.6761710794297352,True,425,2300,1520,3.1,0.27960526315789475,0.3491902834008097,Affordable,Moderately_Affordable
20604111836,659,1422,0.46343178621659636,True,420,1786,1851,1.8,0.22690437601296595,0.222665503054482,Affordable,Affordable
12602172512,658,1597,0.41202254226675017,True,470,2200,1958,2.2,0.24004085801838612,0.25929127052722556,Affordable,Affordable
12003167823,658,1112,0.591726618705036,True,515,2200,1897,3.1,0.27148128624143386,0.2676290499168728,Affordable,Affordable
12601172137,657,1494,0.4397590361445783,True,500,2383,1826,2.6,0.2738225629791895,0.3011626927289578,Affordable,Moderately_Affordable
11802156418,655,2381,0.2750944981100378,True,340,0,349,2.0,0.9742120343839542,0.0,Very_Expensive,Affordable
12602172404,654,2375,0.2753684210526316,True,510,2247,1888,2.1,0.2701271186440678,0.27464960886571055,Affordable,Affordable
12001167320,652,1032,0.6317829457364341,True,580,2900,2193,2.3,0.2644778841769266,0.30516678943491526,Affordable,Moderately_Affordable
11904167119,651,1104,0.5896739130434783,True,600,2600,2244,2.0,0.26737967914438504,0.26737967914438504,Affordable,Affordable
11902165928,648,990,0.6545454545454545,True,380,1710,1343,2.8,0.28294862248696945,0.29383126181339136,Affordable,Affordable
12501171024,646,1450,0.44551724137931037,True,500,2244,2019,2.1,0.24764735017335315,0.2564864555949251,Affordable,Affordable
12504171725,645,2108,0.305977229601518,True,520,2300,2228,2.2,0.2333931777378815,0.23822676425908024,Affordable,Affordable
11701132330,642,3047,0.2106990482441746,True,630,2450,2239,2.3,0.28137561411344353,0.25251657676847494,Affordable,Affordable
